time,minute,activity_top3,delta_top3,activity_rank,delta_rank
17:10,1030,"g1,g4,g9","g1,g2,g3",1:g1;2:g4;3:g9;4:g2;5:g3;6:g5;7:g6;8:g7;9:g8,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
17:15,1035,"g8,g9,g4","g1,g2,g3",1:g8;2:g9;3:g4;4:g6;5:g7;6:g1;7:g2;8:g3;9:g5,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
17:20,1040,"g2,g7,g8","g1,g2,g3",1:g2;2:g7;3:g8;4:g1;5:g3;6:g4;7:g5;8:g6;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
17:25,1045,"g8,g1,g2","g1,g2,g3",1:g8;2:g1;3:g2;4:g3;5:g4;6:g5;7:g6;8:g7;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
17:30,1050,"g8,g1,g2","g9,g1,g8",1:g8;2:g1;3:g2;4:g3;5:g4;6:g5;7:g6;8:g7;9:g9,1:g9;2:g1;3:g8;4:g6;5:g7;6:g4;7:g2;8:g3;9:g5
17:35,1055,"g4,g8,g5","g1,g2,g3",1:g4;2:g8;3:g5;4:g1;5:g2;6:g3;7:g6;8:g7;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
17:40,1060,"g8,g1,g2","g1,g2,g3",1:g8;2:g1;3:g2;4:g3;5:g4;6:g5;7:g6;8:g7;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
17:45,1065,"g4,g1,g2","g1,g2,g3",1:g4;2:g1;3:g2;4:g3;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
17:50,1070,"g4,g8,g1","g8,g4,g1",1:g4;2:g8;3:g1;4:g2;5:g3;6:g5;7:g6;8:g7;9:g9,1:g8;2:g4;3:g1;4:g6;5:g7;6:g2;7:g9;8:g5;9:g3
17:55,1075,"g4,g8,g1","g1,g2,g3",1:g4;2:g8;3:g1;4:g2;5:g3;6:g5;7:g6;8:g7;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
18:00,1080,"g2,g1,g3","g1,g2,g3",1:g2;2:g1;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
