signal_date,next_date,group,machine,up_up_up,right,low_conv_right,all3,score,down_down_down,next_bullish,next_close,next_high,next_low,ge3000,ge5000,ge10000,ge15000,ge20000,next_close_rank,top1,top2,top3
2026-08-19,2026-08-20,g4,049,1,0,0,0,1,0,1,4454.0,12140.0,0.0,True,False,False,False,False,2,False,True,True
2026-06-29,2026-06-30,g4,058,1,1,0,0,2,0,1,20579.0,22562.0,-2043.0,True,True,True,True,True,1,True,True,True
2026-07-05,2026-07-06,g4,058,0,0,0,0,0,0,1,27769.0,29008.0,-3064.0,True,True,True,True,True,1,True,True,True
2026-07-17,2026-07-18,g4,058,0,0,0,0,0,0,0,-21447.0,0.0,-22213.0,False,False,False,False,False,5,False,False,False
2026-07-23,2026-07-24,g4,058,0,0,0,0,0,0,0,-23745.0,0.0,-23745.0,False,False,False,False,False,5,False,False,False
2026-07-29,2026-07-30,g4,058,1,0,0,0,1,0,0,-8622.0,0.0,-9600.0,False,False,False,False,False,5,False,False,False
2026-08-18,2026-08-19,g4,058,0,0,0,0,0,1,1,14498.0,19825.0,-1404.0,True,True,True,False,False,2,False,True,True
2026-08-19,2026-08-20,g4,058,0,0,0,0,0,0,0,-15439.0,0.0,-15439.0,False,False,False,False,False,5,False,False,False
2026-06-29,2026-06-30,g4,067,0,0,0,0,0,0,0,-9244.0,4310.0,-9244.0,False,False,False,False,False,4,False,False,False
2026-07-05,2026-07-06,g4,067,0,1,0,0,1,0,1,15868.0,21570.0,-1532.0,True,True,True,True,False,2,False,True,True
2026-07-17,2026-07-18,g4,067,1,1,1,1,3,0,1,23802.0,25785.0,-2553.0,True,True,True,True,True,1,True,True,True
2026-07-23,2026-07-24,g4,067,0,0,0,0,0,0,0,-5067.0,0.0,-9778.0,False,False,False,False,False,4,False,False,False
2026-07-29,2026-07-30,g4,067,1,1,1,1,3,0,1,25041.0,25041.0,-8681.0,True,True,True,True,True,1,True,True,True
2026-08-18,2026-08-19,g4,067,0,0,0,0,0,0,1,18000.0,21375.0,-2658.0,True,True,True,True,False,1,True,True,True
2026-08-19,2026-08-20,g4,067,0,0,0,0,0,0,1,437.0,5066.0,-2105.0,False,False,False,False,False,3,False,False,True
2026-06-29,2026-06-30,g4,076,1,1,1,1,3,0,0,-8978.0,4914.0,-8978.0,False,False,False,False,False,3,False,False,True
2026-07-05,2026-07-06,g4,076,0,0,0,0,0,0,0,-622.0,0.0,-622.0,False,False,False,False,False,5,False,False,False
2026-07-17,2026-07-18,g4,076,0,0,0,0,0,0,1,517.0,18793.0,-4089.0,False,False,False,False,False,2,False,True,True
2026-07-23,2026-07-24,g4,076,0,0,0,0,0,0,1,5517.0,9569.0,-6222.0,True,True,False,False,False,3,False,False,True
2026-07-29,2026-07-30,g4,076,0,0,0,0,0,0,1,4483.0,7845.0,-3556.0,True,False,False,False,False,2,False,True,True
2026-08-18,2026-08-19,g4,076,1,1,1,1,3,0,0,-6184.0,0.0,-6535.0,False,False,False,False,False,5,False,False,False
2026-08-19,2026-08-20,g4,076,1,1,1,1,3,0,1,45561.0,46214.0,-262.0,True,True,True,True,True,1,True,True,True
2026-07-03,2026-07-04,g5,041,1,1,1,1,3,0,0,-2400.0,3793.0,-5067.0,False,False,False,False,False,3,False,False,True
2026-07-13,2026-07-14,g5,041,1,0,0,0,1,0,0,-1216.0,5398.0,-2568.0,False,False,False,False,False,4,False,False,False
2026-07-23,2026-07-24,g5,041,0,1,1,0,2,0,1,690.0,690.0,-11200.0,False,False,False,False,False,2,False,True,True
2026-07-27,2026-07-28,g5,041,1,1,1,1,3,0,1,31538.0,31538.0,-4935.0,True,True,True,True,True,1,True,True,True
2026-08-13,2026-08-14,g5,041,0,0,0,0,0,0,0,-16533.0,0.0,-16533.0,False,False,False,False,False,5,False,False,False
2026-08-18,2026-08-19,g5,041,1,0,0,0,1,0,1,2838.0,2838.0,-6535.0,False,False,False,False,False,3,False,False,True
2026-08-23,2026-08-24,g5,041,0,0,0,0,0,0,1,15620.0,20826.0,0.0,True,True,True,True,False,2,False,True,True
2026-07-03,2026-07-04,g5,050,0,0,0,0,0,0,0,-7644.0,0.0,-17600.0,False,False,False,False,False,5,False,False,False
2026-07-13,2026-07-14,g5,050,0,1,1,0,2,0,0,-17477.0,1062.0,-17477.0,False,False,False,False,False,5,False,False,False
2026-07-23,2026-07-24,g5,050,0,0,0,0,0,0,0,-5511.0,0.0,-9422.0,False,False,False,False,False,4,False,False,False
2026-07-27,2026-07-28,g5,050,0,0,0,0,0,1,0,-4533.0,948.0,-4533.0,False,False,False,False,False,5,False,False,False
2026-08-13,2026-08-14,g5,050,1,1,1,1,3,0,1,11207.0,12931.0,-3733.0,True,True,True,False,False,1,True,True,True
2026-08-18,2026-08-19,g5,050,1,0,0,0,1,0,1,28553.0,32154.0,-2071.0,True,True,True,True,True,1,True,True,True
2026-08-23,2026-08-24,g5,050,0,0,0,0,0,0,1,3276.0,13103.0,-4267.0,True,False,False,False,False,3,False,False,True
2026-07-03,2026-07-04,g5,059,0,0,0,0,0,0,0,-5333.0,3362.0,-9956.0,False,False,False,False,False,4,False,False,False
2026-07-13,2026-07-14,g5,059,0,0,0,0,0,0,1,10619.0,14956.0,-901.0,True,True,True,False,False,3,False,False,True
2026-07-23,2026-07-24,g5,059,1,1,1,1,3,0,1,11897.0,15172.0,0.0,True,True,True,False,False,1,True,True,True
2026-07-27,2026-07-28,g5,059,0,0,0,0,0,0,1,1379.0,3707.0,-5156.0,False,False,False,False,False,4,False,False,False
2026-08-13,2026-08-14,g5,059,0,1,1,0,2,0,1,8017.0,8362.0,-4267.0,True,True,False,False,False,2,False,True,True
2026-08-18,2026-08-19,g5,059,0,0,0,0,0,0,0,-22658.0,0.0,-25696.0,False,False,False,False,False,5,False,False,False
2026-08-23,2026-08-24,g5,059,1,1,1,1,3,0,1,20826.0,21818.0,0.0,True,True,True,True,True,1,True,True,True
2026-07-03,2026-07-04,g5,068,0,0,0,0,0,0,0,-1333.0,5948.0,-8978.0,False,False,False,False,False,2,False,True,True
2026-07-13,2026-07-14,g5,068,0,0,0,0,0,0,1,22500.0,22500.0,-1700.0,True,True,True,True,True,1,True,True,True
2026-07-23,2026-07-24,g5,068,0,0,0,0,0,0,0,-21702.0,0.0,-21702.0,False,False,False,False,False,5,False,False,False
2026-07-27,2026-07-28,g5,068,1,1,0,0,2,0,1,12562.0,12727.0,-12596.0,True,True,True,False,False,2,False,True,True
2026-08-13,2026-08-14,g5,068,0,0,0,0,0,0,0,-5956.0,0.0,-6133.0,False,False,False,False,False,3,False,False,True
2026-08-18,2026-08-19,g5,068,0,1,1,0,2,0,0,-1711.0,9520.0,-2632.0,False,False,False,False,False,4,False,False,False
2026-08-23,2026-08-24,g5,068,0,1,1,0,2,0,0,-3200.0,1810.0,-9244.0,False,False,False,False,False,4,False,False,False
2026-07-03,2026-07-04,g5,077,0,0,0,0,0,0,1,14138.0,16379.0,-7467.0,True,True,True,False,False,1,True,True,True
2026-07-13,2026-07-14,g5,077,1,1,1,1,3,0,1,13805.0,16549.0,-5946.0,True,True,True,False,False,2,False,True,True
2026-07-23,2026-07-24,g5,077,0,0,0,0,0,0,0,-444.0,6983.0,-6222.0,False,False,False,False,False,3,False,False,True
2026-07-27,2026-07-28,g5,077,0,0,0,0,0,0,1,2241.0,12414.0,-1956.0,False,False,False,False,False,3,False,False,True
2026-08-13,2026-08-14,g5,077,0,0,0,0,0,0,0,-6044.0,5948.0,-6044.0,False,False,False,False,False,4,False,False,False
2026-08-18,2026-08-19,g5,077,1,1,1,1,3,0,1,15808.0,15808.0,-8421.0,True,True,True,True,False,2,False,True,True
2026-08-23,2026-08-24,g5,077,1,0,0,0,1,0,0,-4267.0,690.0,-9067.0,False,False,False,False,False,5,False,False,False
2026-06-28,2026-06-29,g6,042,0,1,1,0,2,0,0,-23935.0,0.0,-23935.0,False,False,False,False,False,4,False,False,False
