signal_date,next_date,group,machine_count,group_signal_total,group_signal_score,any_signal_machine_count,all3_machine_count,up_up_up_count,right_count,low_convergence_right_count,no_signal_machine_count,signal_machine_ratio,all3_machine_ratio,down_down_down_count,next_bullish_count,next_bullish_rate,next_close_mean,next_close_median,next_close_sum,next_high_mean,next_low_mean,next_max_close,next_max_high,next_min_low,next_any_close_gt_3000,next_any_close_gt_5000,next_any_close_gt_10000,next_any_close_gt_15000,next_any_close_gt_20000,next_any_close_gt_3000_machine_count,next_any_close_gt_5000_machine_count,next_any_close_gt_10000_machine_count,evaluated,rank
2026-08-11,2026-08-12,g6,4,0,0.0,0,0,0,0,0,4,0.0,0.0,0,2,0.5,-4711.75,-1841.0,-18847.0,1961.0,-7778.0,1724.0,3879.0,-16889.0,False,False,False,False,False,0,0,0,True,9
2026-08-11,2026-08-12,g7,4,5,1.25,2,1,1,2,2,2,0.5,0.25,0,2,0.5,751.0,3683.0,3004.0,9948.25,-10036.5,17851.0,22314.0,-22213.0,True,True,True,True,False,2,2,2,True,1
2026-08-11,2026-08-12,g8,4,1,0.25,1,0,1,0,0,3,0.25,0.0,0,1,0.25,-5731.25,-10844.5,-22925.0,5880.25,-10013.75,16364.0,22314.0,-17600.0,True,True,True,True,False,1,1,1,True,6
2026-08-11,2026-08-12,g9,4,4,1.0,2,0,0,2,2,2,0.5,0.0,1,1,0.25,-1940.5,-4267.0,-7762.0,4288.5,-6577.75,9483.0,13103.0,-9600.0,True,True,False,False,False,1,1,0,True,2
2026-08-12,2026-08-13,g1,4,2,0.5,1,0,1,1,0,3,0.25,0.0,1,3,0.75,3429.0,5043.0,13716.0,8345.25,-5432.5,8430.0,12414.0,-11064.0,True,True,False,False,False,3,2,0,True,4
2026-08-12,2026-08-13,g2,4,1,0.25,1,0,1,0,0,3,0.25,0.0,2,2,0.5,513.75,-1904.0,2055.0,6853.5,-8711.25,17241.0,18621.0,-13511.0,True,True,True,True,False,2,2,1,True,6
2026-08-12,2026-08-13,g3,5,2,0.4,1,0,0,1,1,4,0.2,0.0,2,2,0.4,-2136.2,-1778.0,-10681.0,7034.6,-10595.6,15172.0,19483.0,-19022.0,True,True,True,True,False,2,2,1,True,5
2026-08-12,2026-08-13,g4,5,7,1.4,3,1,1,3,3,2,0.6,0.2,1,2,0.4,-5633.8,-8533.0,-28169.0,2620.6,-11235.6,4483.0,8103.0,-14933.0,True,False,False,False,False,1,0,0,True,1
2026-08-12,2026-08-13,g5,5,0,0.0,0,0,0,0,0,5,0.0,0.0,0,3,0.6,-2886.2,603.0,-14431.0,9034.4,-10986.8,16034.0,18448.0,-17956.0,True,True,True,True,False,2,1,1,True,7
2026-08-12,2026-08-13,g6,4,0,0.0,0,0,0,0,0,4,0.0,0.0,2,1,0.25,-4583.25,-3733.5,-18333.0,1896.5,-9777.75,690.0,3793.0,-12800.0,False,False,False,False,False,0,0,0,True,8
