signal_date,next_date,group,condition_rank_top3,condition_all3,condition_direction_positive,condition_all3_combined,next_strong3000,next_strong5000,next_strong10000,next_strong15000,next_strong20000,next_strong5000_count,next_strong10000_count,next_max_close,next_max_high,evaluated
2026-07-17,2026-07-18,g8,0,0,0,0,True,True,False,False,False,2,0,8276.0,23802.0,True
2026-07-17,2026-07-18,g9,0,0,0,0,True,True,True,True,True,4,3,36154.0,37949.0,True
2026-07-18,2026-07-19,g1,1,0,0,0,True,True,True,True,True,3,1,35897.0,36154.0,True
2026-07-18,2026-07-19,g2,1,0,1,0,True,True,True,True,True,1,1,38205.0,39231.0,True
2026-07-18,2026-07-19,g3,0,0,0,0,True,True,True,True,True,2,1,25289.0,26033.0,True
2026-07-18,2026-07-19,g4,0,0,0,0,True,True,True,False,False,1,1,11379.0,15345.0,True
2026-07-18,2026-07-19,g5,0,0,1,0,True,True,True,True,False,2,2,15124.0,20826.0,True
2026-07-18,2026-07-19,g6,1,0,0,0,True,True,False,False,False,1,0,5086.0,8793.0,True
2026-07-18,2026-07-19,g7,0,0,1,0,True,True,True,True,True,1,1,23058.0,24298.0,True
2026-07-18,2026-07-19,g8,0,0,0,0,True,True,True,False,False,1,1,12414.0,12931.0,True
2026-07-18,2026-07-19,g9,0,0,0,0,True,True,False,False,False,1,0,9310.0,14483.0,True
2026-07-19,2026-07-20,g1,0,0,0,0,True,True,True,False,False,1,1,10345.0,10517.0,True
2026-07-19,2026-07-20,g2,1,1,1,1,True,True,False,False,False,1,0,8103.0,10172.0,True
2026-07-19,2026-07-20,g3,1,0,1,0,True,True,True,True,True,4,4,20826.0,21322.0,True
2026-07-19,2026-07-20,g4,1,0,0,0,True,True,False,False,False,1,0,6379.0,12414.0,True
2026-07-19,2026-07-20,g5,0,0,0,0,True,True,True,False,False,3,1,12586.0,13793.0,True
2026-07-19,2026-07-20,g6,0,0,0,0,True,True,False,False,False,2,0,7414.0,11552.0,True
2026-07-19,2026-07-20,g7,0,0,0,0,True,True,False,False,False,1,0,5690.0,14828.0,True
2026-07-19,2026-07-20,g8,0,0,0,0,True,True,True,False,False,1,1,10172.0,14828.0,True
2026-07-19,2026-07-20,g9,0,0,0,0,True,True,True,True,True,3,2,25041.0,27769.0,True
2026-07-20,2026-07-21,g1,0,0,0,0,False,False,False,False,False,0,0,-978.0,5862.0,True
2026-07-20,2026-07-21,g2,1,1,1,1,True,True,True,True,True,1,1,35641.0,36154.0,True
2026-07-20,2026-07-21,g3,1,1,0,0,True,True,True,True,True,1,1,29504.0,29504.0,True
2026-07-20,2026-07-21,g4,0,0,0,0,True,True,True,True,True,1,1,21322.0,21322.0,True
2026-07-20,2026-07-21,g5,0,0,1,0,True,True,True,False,False,1,1,14828.0,17241.0,True
2026-07-20,2026-07-21,g6,1,0,1,0,True,True,True,True,False,2,2,16379.0,19483.0,True
2026-07-20,2026-07-21,g7,0,0,1,0,True,True,True,True,True,3,1,24298.0,26777.0,True
2026-07-20,2026-07-21,g8,0,1,1,0,True,True,False,False,False,2,0,8276.0,9397.0,True
2026-07-20,2026-07-21,g9,0,0,0,0,True,False,False,False,False,0,0,3448.0,9655.0,True
2026-07-21,2026-07-22,g1,0,0,0,0,False,False,False,False,False,0,0,2759.0,7759.0,True
2026-07-21,2026-07-22,g2,0,0,0,0,True,True,True,False,False,1,1,11207.0,15517.0,True
2026-07-21,2026-07-22,g3,0,0,0,0,True,True,True,True,True,3,2,23554.0,24793.0,True
2026-07-21,2026-07-22,g4,1,0,1,0,True,True,True,False,False,1,1,10345.0,17759.0,True
2026-07-21,2026-07-22,g5,1,0,0,0,True,True,True,True,True,3,2,23802.0,25289.0,True
2026-07-21,2026-07-22,g6,0,0,0,0,True,True,True,False,False,1,1,11034.0,14655.0,True
2026-07-21,2026-07-22,g7,0,0,0,0,True,True,False,False,False,1,0,8621.0,8793.0,True
2026-07-21,2026-07-22,g8,0,0,0,0,True,True,True,False,False,2,1,12414.0,15172.0,True
2026-07-21,2026-07-22,g9,1,0,0,0,True,True,False,False,False,1,0,8190.0,9138.0,True
2026-07-22,2026-07-23,g1,1,0,0,0,True,True,True,True,True,3,2,23554.0,24793.0,True
2026-07-22,2026-07-23,g2,0,0,0,0,True,True,True,False,False,2,1,10690.0,13103.0,True
2026-07-22,2026-07-23,g3,1,0,0,0,True,True,True,True,False,1,1,16552.0,17241.0,True
2026-07-22,2026-07-23,g4,0,0,0,0,True,True,True,False,False,1,1,13140.0,22562.0,True
2026-07-22,2026-07-23,g5,0,0,0,0,False,False,False,False,False,0,0,-444.0,6121.0,True
2026-07-22,2026-07-23,g6,0,0,0,0,False,False,False,False,False,0,0,-2311.0,6293.0,True
2026-07-22,2026-07-23,g7,1,0,1,0,True,True,True,True,True,1,1,23802.0,26281.0,True
2026-07-22,2026-07-23,g8,0,0,0,0,True,True,True,True,False,2,1,19835.0,19835.0,True
2026-07-22,2026-07-23,g9,0,0,0,0,True,False,False,False,False,0,0,3621.0,12931.0,True
2026-07-23,2026-07-24,g1,0,0,0,0,False,False,False,False,False,0,0,2931.0,9052.0,True
2026-07-23,2026-07-24,g2,0,0,0,0,False,False,False,False,False,0,0,-1867.0,4914.0,True
2026-07-23,2026-07-24,g3,0,1,1,0,True,True,True,True,True,3,2,28264.0,28264.0,True
2026-07-23,2026-07-24,g4,1,1,1,1,True,True,True,True,True,3,2,27273.0,27273.0,True
2026-07-23,2026-07-24,g5,1,1,1,1,True,True,True,False,False,1,1,11897.0,15172.0,True
2026-07-23,2026-07-24,g6,0,0,0,0,True,False,False,False,False,0,0,3707.0,9828.0,True
2026-07-23,2026-07-24,g7,1,0,0,0,True,True,True,True,False,2,1,16860.0,22066.0,True
2026-07-23,2026-07-24,g8,0,0,0,0,True,True,False,False,False,1,0,7069.0,15172.0,True
2026-07-23,2026-07-24,g9,0,0,0,0,True,True,False,False,False,1,0,8362.0,9828.0,True
2026-07-24,2026-07-25,g1,0,0,0,0,True,True,True,True,False,3,2,16379.0,18103.0,True
2026-07-24,2026-07-25,g2,0,0,1,0,False,False,False,False,False,0,0,2500.0,8017.0,True
2026-07-24,2026-07-25,g3,0,0,0,0,True,True,True,False,False,2,1,10517.0,12069.0,True
2026-07-24,2026-07-25,g4,0,0,1,0,False,False,False,False,False,0,0,-4267.0,10862.0,True
2026-07-24,2026-07-25,g5,1,0,1,0,True,True,True,True,True,1,1,23554.0,25537.0,True
2026-07-24,2026-07-25,g6,1,0,0,0,True,True,False,False,False,1,0,8678.0,19835.0,True
2026-07-24,2026-07-25,g7,0,0,0,0,True,True,True,True,False,2,1,19655.0,19655.0,True
2026-07-24,2026-07-25,g8,0,0,0,0,True,True,True,False,False,1,1,13793.0,15000.0,True
2026-07-24,2026-07-25,g9,1,1,1,1,True,True,True,True,True,2,1,30513.0,30769.0,True
2026-07-25,2026-07-26,g1,1,0,0,0,True,True,True,False,False,1,1,10248.0,10690.0,True
2026-07-25,2026-07-26,g2,0,0,0,0,True,False,False,False,False,0,0,3707.0,4828.0,True
2026-07-25,2026-07-26,g3,0,0,0,0,True,True,True,False,False,2,1,13884.0,22314.0,True
2026-07-25,2026-07-26,g4,1,0,1,0,True,True,True,False,False,1,1,12414.0,17759.0,True
2026-07-25,2026-07-26,g5,0,0,1,0,True,True,True,False,False,2,1,10517.0,11897.0,True
2026-07-25,2026-07-26,g6,0,0,0,0,True,True,True,False,False,1,1,11379.0,12069.0,True
2026-07-25,2026-07-26,g7,0,0,0,0,False,False,False,False,False,0,0,-1867.0,8190.0,True
2026-07-25,2026-07-26,g8,0,0,0,0,False,False,False,False,False,0,0,-89.0,2155.0,True
2026-07-25,2026-07-26,g9,1,0,0,0,True,True,True,False,False,1,1,12759.0,13276.0,True
2026-07-26,2026-07-27,g1,0,0,0,0,True,False,False,False,False,0,0,3276.0,7931.0,True
2026-07-26,2026-07-27,g2,0,0,0,0,False,False,False,False,False,0,0,1638.0,7155.0,True
2026-07-26,2026-07-27,g3,0,0,0,0,False,False,False,False,False,0,0,-978.0,3103.0,True
2026-07-26,2026-07-27,g4,1,0,0,0,True,True,False,False,False,1,0,6379.0,13103.0,True
2026-07-26,2026-07-27,g5,1,0,1,0,False,False,False,False,False,0,0,2586.0,17931.0,True
2026-07-26,2026-07-27,g6,1,1,1,1,True,True,True,True,True,2,1,40885.0,40885.0,True
2026-07-26,2026-07-27,g7,0,0,1,0,True,True,True,True,False,1,1,19587.0,21322.0,True
2026-07-26,2026-07-27,g8,0,0,0,0,True,True,True,True,True,2,2,20579.0,21322.0,True
2026-07-26,2026-07-27,g9,0,0,0,0,True,True,True,True,True,1,1,23058.0,23058.0,True
2026-07-27,2026-07-28,g1,0,0,0,0,True,True,False,False,False,1,0,5948.0,7672.0,True
2026-07-27,2026-07-28,g2,0,0,0,0,True,True,False,False,False,1,0,6207.0,10345.0,True
2026-07-27,2026-07-28,g3,0,0,0,0,True,True,True,False,False,1,1,14828.0,15172.0,True
2026-07-27,2026-07-28,g4,0,0,0,0,True,True,True,False,False,1,1,11724.0,13448.0,True
2026-07-27,2026-07-28,g5,1,1,1,1,True,True,True,True,True,2,2,31538.0,31538.0,True
2026-07-27,2026-07-28,g6,1,0,0,0,True,True,True,True,True,2,1,25577.0,25962.0,True
2026-07-27,2026-07-28,g7,0,0,0,0,True,True,True,False,False,2,1,10690.0,16034.0,True
2026-07-27,2026-07-28,g8,1,1,1,1,True,True,True,True,False,2,1,17603.0,21570.0,True
2026-07-27,2026-07-28,g9,0,0,0,0,True,True,True,True,False,2,1,17414.0,17586.0,True
2026-07-28,2026-07-29,g1,0,0,1,0,False,False,False,False,False,0,0,517.0,4483.0,True
2026-07-28,2026-07-29,g2,1,0,0,0,False,False,False,False,False,0,0,1121.0,9569.0,True
2026-07-28,2026-07-29,g3,0,0,0,0,True,True,True,True,False,2,2,17414.0,18276.0,True
2026-07-28,2026-07-29,g4,0,1,0,0,True,True,True,True,True,1,1,26410.0,29744.0,True
2026-07-28,2026-07-29,g5,0,0,0,0,True,True,False,False,False,2,0,9224.0,9310.0,True
2026-07-28,2026-07-29,g6,1,0,0,0,True,True,True,True,False,1,1,17241.0,17759.0,True
2026-07-28,2026-07-29,g7,1,1,0,0,True,True,True,True,True,2,1,29008.0,29008.0,True
2026-07-28,2026-07-29,g8,0,0,0,0,True,True,True,False,False,1,1,10690.0,14655.0,True
2026-07-28,2026-07-29,g9,0,0,1,0,True,True,True,False,False,2,2,11897.0,14138.0,True
2026-07-29,2026-07-30,g1,1,0,1,0,True,True,True,True,True,1,1,20579.0,20826.0,True
2026-07-29,2026-07-30,g2,1,1,1,1,True,True,True,True,False,2,2,16207.0,18966.0,True
2026-07-29,2026-07-30,g3,0,0,0,0,True,True,True,True,False,3,2,15862.0,21074.0,True
2026-07-29,2026-07-30,g4,1,1,1,1,True,True,True,True,True,1,1,25041.0,25041.0,True
2026-07-29,2026-07-30,g5,0,1,0,0,True,True,True,True,True,2,2,34103.0,34615.0,True
2026-07-29,2026-07-30,g6,0,0,0,0,True,True,False,False,False,1,0,9138.0,10172.0,True
2026-07-29,2026-07-30,g7,0,0,0,0,False,False,False,False,False,0,0,86.0,5000.0,True
2026-07-29,2026-07-30,g8,0,0,1,0,True,True,False,False,False,1,0,6897.0,11724.0,True
2026-07-29,2026-07-30,g9,0,0,0,0,True,True,True,True,False,1,1,15868.0,21074.0,True
2026-07-30,2026-07-31,g1,0,0,0,0,True,True,True,False,False,1,1,11897.0,15000.0,True
2026-07-30,2026-07-31,g2,1,0,1,0,True,True,True,True,True,1,1,22314.0,26529.0,True
2026-07-30,2026-07-31,g3,0,0,0,0,True,True,False,False,False,1,0,5086.0,8621.0,True
2026-07-30,2026-07-31,g4,0,0,0,0,True,True,True,True,True,3,2,20192.0,20962.0,True
2026-07-30,2026-07-31,g5,1,1,0,0,True,True,True,True,False,1,1,17107.0,25041.0,True
2026-07-30,2026-07-31,g6,0,0,0,0,False,False,False,False,False,0,0,-3733.0,0.0,True
2026-07-30,2026-07-31,g7,0,0,0,0,True,True,True,True,False,1,1,18843.0,24298.0,True
2026-07-30,2026-07-31,g8,0,0,1,0,True,True,False,False,False,2,0,9483.0,13793.0,True
2026-07-30,2026-07-31,g9,1,1,1,1,True,True,True,True,False,3,2,18099.0,19835.0,True
2026-07-31,2026-08-01,g1,1,0,1,0,True,True,True,False,False,1,1,12586.0,15345.0,True
2026-07-31,2026-08-01,g2,1,0,1,0,True,True,True,False,False,3,1,12241.0,19138.0,True
2026-07-31,2026-08-01,g3,0,0,1,0,True,True,True,False,False,1,1,14628.0,20083.0,True
2026-07-31,2026-08-01,g4,0,0,0,0,True,True,False,False,False,1,0,8793.0,11034.0,True
2026-07-31,2026-08-01,g5,0,0,0,0,True,True,True,True,True,3,1,32564.0,34872.0,True
2026-07-31,2026-08-01,g6,1,0,1,0,True,True,False,False,False,1,0,7069.0,9052.0,True
2026-07-31,2026-08-01,g7,0,0,0,0,True,True,True,True,False,2,1,16364.0,21570.0,True
2026-07-31,2026-08-01,g8,0,0,1,0,True,True,True,True,True,2,2,26529.0,27521.0,True
2026-07-31,2026-08-01,g9,0,0,0,0,True,True,True,True,True,1,1,21322.0,21818.0,True
2026-08-01,2026-08-02,g1,0,0,0,0,True,False,False,False,False,0,0,3793.0,7845.0,True
2026-08-01,2026-08-02,g2,0,0,0,0,True,True,True,True,True,1,1,20000.0,20000.0,True
2026-08-01,2026-08-02,g3,1,0,0,0,True,True,True,False,False,1,1,12149.0,29504.0,True
2026-08-01,2026-08-02,g4,1,0,0,0,True,True,False,False,False,1,0,8448.0,13966.0,True
2026-08-01,2026-08-02,g5,1,1,0,0,True,True,True,True,True,1,1,25041.0,25289.0,True
2026-08-01,2026-08-02,g6,0,0,0,0,True,True,True,False,False,1,1,13103.0,15000.0,True
2026-08-01,2026-08-02,g7,0,0,0,0,True,True,True,True,False,2,1,17355.0,28760.0,True
2026-08-01,2026-08-02,g8,0,0,1,0,True,True,True,True,True,3,2,24793.0,25537.0,True
2026-08-01,2026-08-02,g9,0,0,0,0,True,True,False,False,False,1,0,8793.0,14138.0,True
2026-08-02,2026-08-03,g1,1,0,1,0,True,True,True,False,False,2,2,14483.0,18966.0,True
2026-08-02,2026-08-03,g2,0,0,0,0,True,True,True,False,False,2,1,13966.0,18103.0,True
2026-08-02,2026-08-03,g3,0,0,1,0,True,True,True,False,False,1,1,11897.0,18103.0,True
2026-08-02,2026-08-03,g4,0,0,0,0,True,True,True,True,False,2,1,18347.0,20083.0,True
2026-08-02,2026-08-03,g5,0,1,0,0,True,True,True,True,True,3,1,26529.0,26529.0,True
2026-08-02,2026-08-03,g6,1,0,1,0,True,True,True,True,False,2,2,16552.0,16552.0,True
2026-08-02,2026-08-03,g7,0,0,1,0,True,True,False,False,False,2,0,8793.0,15690.0,True
2026-08-02,2026-08-03,g8,1,0,1,0,True,True,True,True,True,2,2,24298.0,24298.0,True
2026-08-02,2026-08-03,g9,0,0,0,0,True,True,True,True,False,2,2,17069.0,19138.0,True
2026-08-03,2026-08-04,g1,0,0,0,0,False,False,False,False,False,0,0,948.0,4397.0,True
2026-08-03,2026-08-04,g2,1,1,0,0,True,True,False,False,False,3,0,8621.0,9397.0,True
2026-08-03,2026-08-04,g3,1,1,1,1,True,True,True,True,True,2,2,22314.0,23306.0,True
2026-08-03,2026-08-04,g4,0,0,0,0,True,True,True,True,False,2,1,19587.0,21818.0,True
2026-08-03,2026-08-04,g5,0,1,0,0,True,True,True,True,False,3,2,18843.0,23058.0,True
2026-08-03,2026-08-04,g6,1,1,1,1,True,True,True,False,False,1,1,11379.0,14655.0,True
2026-08-03,2026-08-04,g7,0,0,0,0,True,True,True,True,True,1,1,20083.0,20331.0,True
2026-08-03,2026-08-04,g8,0,1,0,0,True,True,True,True,True,1,1,20579.0,20579.0,True
2026-08-03,2026-08-04,g9,0,0,0,0,True,True,True,False,False,1,1,12069.0,15172.0,True
2026-08-04,2026-08-05,g1,0,0,0,0,True,True,True,True,True,1,1,22810.0,23058.0,True
2026-08-04,2026-08-05,g2,0,0,0,0,True,True,True,True,True,1,1,27521.0,27521.0,True
2026-08-04,2026-08-05,g3,0,0,1,0,True,True,True,False,False,2,1,12759.0,15000.0,True
2026-08-04,2026-08-05,g4,0,0,0,0,True,True,True,False,False,1,1,14310.0,15345.0,True
2026-08-04,2026-08-05,g5,0,0,0,0,True,True,True,False,False,1,1,14828.0,16724.0,True
2026-08-04,2026-08-05,g6,1,0,1,0,True,True,True,True,True,3,1,23058.0,24793.0,True
2026-08-04,2026-08-05,g7,1,0,0,0,False,False,False,False,False,0,0,-2311.0,0.0,True
2026-08-04,2026-08-05,g8,0,0,0,0,True,True,True,True,True,2,1,23306.0,23306.0,True
2026-08-04,2026-08-05,g9,1,0,1,0,False,False,False,False,False,0,0,-1600.0,1466.0,True
2026-08-05,2026-08-06,g1,1,0,0,0,False,False,False,False,False,0,0,862.0,10172.0,True
2026-08-05,2026-08-06,g2,0,0,0,0,True,True,False,False,False,1,0,6466.0,8017.0,True
2026-08-05,2026-08-06,g3,1,1,1,1,True,True,True,True,True,2,2,43490.0,44531.0,True
2026-08-05,2026-08-06,g4,0,0,1,0,True,True,True,True,True,1,1,21818.0,21818.0,True
2026-08-05,2026-08-06,g5,0,0,0,0,True,True,True,False,False,3,1,10690.0,11207.0,True
2026-08-05,2026-08-06,g6,0,0,0,0,True,True,False,False,False,1,0,8448.0,10862.0,True
2026-08-05,2026-08-06,g7,0,0,0,0,True,True,False,False,False,2,0,9828.0,11897.0,True
