time,minute,g1,g2,g3,g4,g5,g6,g7,g8,g9,all39_total
20:00,1200,-2210,-11664,21946,-12035,62385,13687,176,-324,-16902,55059
20:05,1205,-2210,-11664,21946,-12035,62385,13687,176,-324,-16902,55059
20:10,1210,-2404,-12338,26738,-13258,62784,13191,-1134,-6,-17791,55782
20:15,1215,-2404,-12338,26738,-13258,62784,13191,-1134,-6,-17791,55782
20:20,1220,-2404,-12338,26738,-13258,62784,13191,-1134,-6,-17791,55782
20:25,1225,-2404,-12338,26738,-13258,62784,13191,-1134,-6,-17791,55782
20:30,1230,4592,-12834,28785,-14562,62784,19420,-1748,1971,-18058,70350
20:35,1235,4592,-12834,28785,-14562,62784,19420,-1748,1971,-18058,70350
20:40,1240,4592,-12834,28785,-14562,62784,19420,-1748,1971,-18058,70350
20:45,1245,10627,-13367,28882,-15001,61187,21038,321,4126,-18325,79488
20:50,1250,10627,-13367,28882,-15001,61187,21038,321,4126,-18325,79488
20:55,1255,10627,-13367,28882,-15001,61187,21038,321,4126,-18325,79488
21:00,1260,10627,-13367,28882,-15001,61187,21038,321,4126,-18325,79488
21:05,1265,10627,-13367,28882,-15001,61187,21038,321,4126,-18325,79488
21:10,1270,10455,-13900,27410,-15001,62136,20542,-368,3006,-18592,75688
21:15,1275,10455,-13900,27410,-15001,62136,20542,-368,3006,-18592,75688
21:20,1280,10455,-13900,27410,-15001,62136,20542,-368,3006,-18592,75688
21:25,1285,10455,-13900,27410,-15001,62136,20542,-368,3006,-18592,75688
21:30,1290,10455,-14256,25962,-9845,62956,20542,-902,3006,-18592,79326
21:35,1295,10455,-14256,25962,-9845,62956,20542,-902,3006,-18592,79326
21:40,1300,10455,-14256,25962,-9845,62956,20542,-902,3006,-18592,79326
21:45,1305,10455,-14256,25962,-10023,62956,20542,-902,3006,-18592,79148
21:50,1310,10455,-14256,25962,-10023,62956,20542,-902,3006,-18592,79148
21:55,1315,10455,-14256,25962,-10023,62956,20542,-902,3006,-18592,79148
22:00,1320,10455,-14256,25962,-10023,62956,20542,-902,3006,-18592,79148
22:05,1325,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
22:10,1330,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
22:15,1335,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
22:20,1340,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
22:25,1345,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
22:30,1350,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
22:35,1355,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
22:40,1360,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
22:45,1365,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
22:50,1370,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
22:55,1375,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
23:00,1380,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
23:05,1385,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
23:10,1390,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
23:15,1395,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
23:16,1396,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
23:20,1400,10455,-14256,25962,-10109,62867,20542,-902,3006,-18592,78973
