date,machine,n_observations,n_fft,status,open,high,low,close,bullish,next_day_bullish,long_k,long_frequency,long_period,long_amplitude,long_power,long_rank,mid_k,mid_frequency,mid_period,mid_amplitude,mid_power,mid_rank,short_k,short_frequency,short_period,short_amplitude,short_power,short_rank,long_period_change,long_period_change_pct,mid_period_change,mid_period_change_pct,short_period_change,short_period_change_pct,period_stability_score,regime,dominant_rank_signature,component_reorder,n_fft_changed,long_repeat_period,mid_repeat_period,short_repeat_period,joint_repeat_period,joint_repeat_stable_count,asof_long_phase,asof_mid_phase,asof_short_phase,asof_phase_alignment_score,asof_phase_convergence_score,asof_centroid_region,full_fft_alignment_score,full_fft_convergence_score,full_fft_centroid_region
2026-07-25,049,29,32,STABLE,0.0,10172.0,-4267.0,-4267.0,False,False,8,0.25,4.0,11604.992139591803,0.2612225238202232,1,14,0.4375,2.2857142857142856,11449.869222877292,0.2542857202482788,2,16,0.5,2.0,6354.439952437574,0.07832050517487799,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-2-3,False,False,4,16,2,16,9,323.26293702841895,346.7554200407312,180.0,0.37780728618706794,0.29102381251661813,LEFT,0.802628925444799,0.5557236857795542,LEFT
2026-07-26,049,30,32,STABLE,0.0,0.0,-14933.0,-8889.0,False,True,8,0.25,4.0,11728.095059530711,0.2787604817695551,1,14,0.4375,2.2857142857142856,10397.90938414043,0.21911308234206409,2,16,0.5,2.0,6942.615647015203,0.09768378907034177,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-2-3,False,False,4,16,2,16,10,49.84217109872816,141.79693960303848,0.0,0.5426193574096054,0.3537741375749396,RIGHT,0.7593774829194863,0.4809307561922115,RIGHT
2026-07-27,049,31,32,STABLE,0.0,8017.0,-3378.0,6379.0,True,False,8,0.25,4.0,11518.337670454155,0.2848519056517737,1,14,0.4375,2.2857142857142856,9954.410964401648,0.21275052964612678,2,16,0.5,2.0,6947.038501560873,0.1036188883152166,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-2-3,False,False,4,16,2,16,11,140.4970197736252,298.15269305835045,180.0,0.4409214279508598,0.2607393445507238,TOP,0.49403289856667676,0.2545232924017692,TOP
2026-07-28,049,32,32,STABLE,0.0,0.0,-18844.0,-18844.0,False,True,8,0.25,4.0,10510.389200210882,0.23822630498285843,1,14,0.4375,2.2857142857142856,9576.314501756699,0.1977647657756218,2,16,0.5,2.0,7982.637096774193,0.13741840079316625,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-2-3,False,False,4,16,2,16,12,236.20997423255585,88.18776660447384,0.0,0.1681400158859278,0.24462967535430913,TOP,0.1195587951115451,0.245443028203575,TOP
2026-07-29,049,33,64,UNSTABLE,0.0,1207.0,-12800.0,690.0,True,False,16,0.25,4.0,10181.025963619599,0.1213218752828184,1,27,0.421875,2.3703703703703702,8212.16733200655,0.07893536194443602,3,28,0.4375,2.2857142857142856,9291.016449751181,0.10103747460320789,2,,,,,,,,UNSTABLE,1-3-2,True,True,4,64,16,64,1,326.1764220017094,245.61782058039444,138.989511560937,0.2927773611624151,0.29456732836355204,TOP,0.32286898199657943,0.2912341209410061,TOP
2026-07-30,049,34,64,STABLE,0.0,3966.0,-4444.0,-267.0,False,True,16,0.25,4.0,9902.28365328967,0.12183775662383863,1,27,0.421875,2.3703703703703702,7985.682072637129,0.07923830930990189,3,28,0.4375,2.2857142857142856,9044.70439794088,0.1016482541539168,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-3-2,False,False,4,64,16,64,2,55.98696470102823,42.959721396986424,291.11945316556466,0.5832022648176134,0.48981899522304884,BOTTOM,0.5958759579688698,0.5092334912613421,BOTTOM
2026-07-31,049,35,64,TRANSITION,0.0,11034.0,-5867.0,9828.0,True,False,16,0.25,4.0,10046.856975524955,0.13009900007995384,1,28,0.4375,2.2857142857142856,9274.563120133784,0.11086652662087737,2,32,0.5,2.0,7877.740408163265,0.07998652884550542,3,0.0,0.0,0.08465608465608465,0.03571428571428571,0.2857142857142856,0.12499999999999994,0.7857142857142858,TRANSITION,1-2-3,True,False,4,16,2,16,1,147.51100087941404,199.21655174961052,180.0000000000009,0.9318415361989844,0.5771946466339514,TOP,0.6721245329933486,0.28599933321038273,TOP
2026-08-01,049,36,64,TRANSITION,0.0,0.0,-12089.0,-12089.0,False,False,16,0.25,4.0,9472.311923823045,0.1196477441277131,2,28,0.4375,2.2857142857142856,9711.392119408447,0.12576375995982336,1,32,0.5,2.0,8339.44144144144,0.09273986507763722,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TRANSITION,2-1-3,True,False,4,16,2,16,2,357.0216040130954,241.18071905758825,0.0,0.592682644008343,0.44352767853490216,LEFT,0.5398782492196131,0.39866553822611195,LEFT
2026-08-02,049,37,64,TRANSITION,0.0,3793.0,-10667.0,-9956.0,False,False,16,0.25,4.0,9683.35891019937,0.13211378061803666,1,28,0.4375,2.2857142857142856,8998.504613405077,0.11408715486939117,2,32,0.5,2.0,7605.650840029218,0.08150210588181643,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TRANSITION,1-2-3,True,False,4,16,2,16,3,332.4228273289914,153.28241260481718,180.0,0.3356446101254902,0.2899307292892592,TOP,0.2605990825480237,0.27557375808331297,RIGHT
2026-08-03,049,38,64,STABLE,0.0,4138.0,-2222.0,-800.0,False,False,16,0.25,4.0,9414.064716029385,0.1316988135366707,1,28,0.4375,2.2857142857142856,8740.725186112419,0.11353308406470221,2,32,0.5,2.0,7374.217748112486,0.08080894155141416,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-2-3,False,False,4,16,2,16,4,62.602800591047526,310.61883318076434,0.0,0.7050347526166283,0.5459084576946096,BOTTOM,0.11307083312095859,0.29408644972337483,TOP
