date,machine,long_phase,mid_phase,short_phase,long_x,long_y,mid_x,mid_y,short_x,short_y,distance_long_mid,distance_mid_short,distance_short_long,mean_pair_distance,max_pair_distance,min_pair_distance,convergence_score,phase_convergence,centroid_x,centroid_y,centroid_region,bullish,next_day_bullish,wave_direction_pattern,target_date,next_close,next_open,next_high,next_low,prev_open,prev_high,prev_low,prev_close,prev_range,prev_close_low,prev_high_close,prev_bullish,convergence_delta,convergence_change,convergence_bin,convergence_0_7_plus,convergence_0_8_plus,high_falling,high_rising,phase_cluster,regime,region,close_gt_3000,close_gt_5000,close_gt_10000,close_lt_minus3000,close_lt_minus5000,close_lt_minus10000,abs_close_gt_5000,abs_close_gt_10000
2026-06-30,075,182.56072945447124,143.37524416200193,137.610075346788,295.0868165590263,80.14176546438745,361.8536945540047,106.78906559941045,368.5190960506914,114.9355103249588,71.88806995379916,10.525784473304038,81.25825713590314,54.557370521002106,81.25825713590314,10.525784473304038,0.6306442857458948,True,341.81986905457416,100.62211379625224,TOP,True,True,DOWN-UP-DOWN,2026-07-01,2241.0,0.0,2759.0,-4711.0,0.0,25041.0,-3319.0,23058.0,28360.0,26377.0,1983.0,True,0.18964871295663732,rising,middle,False,False,False,False,middle,INSUFFICIENT_HISTORY,TOP,False,False,False,False,False,False,False,False
2026-07-01,075,317.56072945447136,160.25024416200193,261.360075346788,263.30107063209334,230.13517662666052,336.5343374658943,88.242078416927,218.13252337828771,177.5603506742941,159.6770574963973,148.31299113117942,69.31312996064233,125.76772619607301,159.6770574963973,69.31312996064233,0.2741951931981941,False,272.65597715875845,165.31253523929388,LEFT,False,False,UP-UP-DOWN,2026-07-02,-2311.0,0.0,2500.0,-9067.0,0.0,2759.0,-4711.0,2241.0,7470.0,6952.0,518.0,True,-0.35644909254770074,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,LEFT,False,False,False,False,False,False,False,False
2026-07-02,075,92.56072945447124,177.12524416200193,25.110075346787994,379.35038868614373,186.4512171766131,305.5147999490866,80.17864905436024,320.8038377717593,234.39111552807762,129.40460926662047,154.96851129649056,75.66989148875106,120.01433735062069,154.96851129649056,75.66989148875106,0.29559767592504294,False,335.22300880232984,167.00699391968365,RIGHT,True,True,UP-DOWN-UP,2026-07-03,15620.0,0.0,23802.0,-255.0,0.0,2500.0,-9067.0,-2311.0,11567.0,6756.0,4811.0,False,0.02140248272684886,rising,low,False,False,False,False,low,INSUFFICIENT_HISTORY,RIGHT,True,True,True,False,False,False,True,True
2026-07-03,075,227.56072945447136,194.00024416200196,148.860075346788,226.50042275575257,122.79322478262462,273.618104217098,84.18991629859617,354.4998108441044,99.79680357643554,60.91216079081317,82.37369360056834,130.0487552392754,91.1115365435523,130.0487552392754,60.91216079081317,0.40886929436693,False,284.8727792723183,102.2599815525521,TOP,False,False,DOWN-DOWN-DOWN,2026-07-04,-10044.0,0.0,1207.0,-10044.0,0.0,23802.0,-255.0,15620.0,24057.0,15875.0,8182.0,True,0.11327161844188705,rising,low,False,False,False,False,low,INSUFFICIENT_HISTORY,TOP,False,False,False,True,True,True,True,True
2026-07-04,075,2.560729454471357,210.87524416200196,272.610075346788,302.0566286728558,235.98598806855688,245.8783878212717,99.4806419248043,223.53664413575763,193.48565443215912,147.6133607469334,96.62347482582659,89.2841885829247,111.17367471856157,147.6133607469334,89.2841885829247,0.32903017842302995,False,257.15722020996174,176.31742814184008,LEFT,False,False,UP-DOWN-DOWN,2026-07-05,-1778.0,0.0,3534.0,-8800.0,0.0,1207.0,-10044.0,-10044.0,11251.0,0.0,11251.0,False,-0.07983911594390003,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,LEFT,False,False,False,False,False,False,False,False
2026-07-05,075,137.56072945447113,227.75024416200196,36.36007534678788,368.5711758349625,115.00826860522164,226.33643646425364,123.08930284111786,330.9650693601896,232.0613291507961,142.46411547535473,151.06969696040878,122.94567185256207,138.82649476277518,151.06969696040878,122.94567185256207,0.3133195592708692,False,308.6242272198019,156.71963353237854,TOP,False,False,DOWN-DOWN-UP,2026-07-06,-3911.0,0.0,0.0,-15111.0,0.0,3534.0,-8800.0,-1778.0,12334.0,7022.0,5312.0,False,-0.015710619152160765,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,TOP,False,False,False,True,False,False,False,False
2026-07-06,075,272.56072945447113,244.62524416200196,160.11007534678788,223.50616608197421,193.4210292904424,217.13491705196645,150.69749800075618,336.77413870389034,88.35672093191741,43.195982915812564,134.90706372545816,154.4931795023145,110.86540871452841,154.4931795023145,43.195982915812564,0.2977582749894796,False,259.13840727927703,144.15841607437198,TOP,True,True,DOWN-DOWN-DOWN,2026-07-07,2414.0,0.0,5086.0,-3111.0,0.0,0.0,-15111.0,-3911.0,15111.0,11200.0,3911.0,False,-0.015561284281389587,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,TOP,False,False,False,False,False,False,False,False
2026-07-07,075,47.56072945447113,261.50024416200193,283.8600753467879,341.62733077719156,228.0633299854936,218.17889665972015,177.77211063691638,231.71353051895397,206.8487040855476,133.29937220265663,32.072333876419144,111.94241304922102,92.43803970943226,133.29937220265663,32.072333876419144,0.39409376271519714,False,263.83991931862187,204.22804823598585,LEFT,True,True,UP-DOWN-DOWN,2026-07-08,12414.0,0.0,12414.0,-8889.0,0.0,5086.0,-3111.0,2414.0,8197.0,5525.0,2672.0,True,0.09633548772571754,rising,low,False,False,False,False,low,INSUFFICIENT_HISTORY,LEFT,True,True,True,False,False,False,True,True
2026-07-08,075,182.56072945447136,278.37524416200193,47.61007534678788,295.08681655902603,80.14176546438746,227.44311288021407,200.68223764749632,341.67512511489224,228.04118182956697,138.22328342762574,117.46260871418325,155.0635606945014,136.91648427877013,155.0635606945014,117.46260871418325,0.2951656332068118,False,288.06835151804415,169.62172831381693,TOP,True,True,DOWN-DOWN-UP,2026-07-09,9310.0,0.0,12414.0,-1778.0,0.0,12414.0,-8889.0,12414.0,21303.0,21303.0,0.0,True,-0.09892812950838537,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,TOP,True,True,False,False,False,False,True,False
2026-07-09,075,317.56072945447113,295.25024416200193,171.36007534678788,263.3010706320932,230.13517662666044,241.79872051613043,217.44980864619075,316.4701196645827,81.60730328541636,24.965368439287424,155.01291595695986,157.75765253797329,112.57864564474018,157.75765253797329,24.965368439287424,0.28291976119103057,False,273.8566369376021,176.39742951942253,LEFT,False,False,UP-DOWN-DOWN,2026-07-10,-4089.0,0.0,0.0,-4089.0,0.0,12414.0,-1778.0,9310.0,14192.0,11088.0,3104.0,True,-0.0122458720157812,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,LEFT,False,False,False,True,False,False,False,False
