scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max
Holdout35,RIGHT,ALL,bullish_success,304,304,1.0,0,0.0,12603.980263157895,10548.0,86.0,53438.0,15663.911184210527,14310.5,690.0,53438.0,-4014.7138157894738,-3203.0,-19556.0,0.0,19678.625,18365.0,5581.0,58975.0,16618.69407894737,14853.5,1737.0,58714.0
Holdout35,RIGHT,ALL,all_signal,497,304,0.6116700201207244,193,0.38832997987927564,4843.042253521126,3680.0,-29872.0,53438.0,10583.458752515091,8448.0,0.0,53438.0,-6297.020120724346,-5156.0,-29872.0,0.0,16880.478873239437,15006.0,1707.0,58975.0,11140.062374245474,8533.0,0.0,58714.0
Holdout35,LOW_CONVERGENCE_RIGHT,ALL,bullish_success,216,216,1.0,0,0.0,12631.902777777777,10000.0,86.0,53438.0,15747.203703703704,14052.0,690.0,53438.0,-3922.7175925925926,-3055.5,-18018.0,0.0,19669.921296296296,18235.5,5581.0,58975.0,16554.62037037037,14797.5,1737.0,58714.0
Holdout35,LOW_CONVERGENCE_RIGHT,ALL,all_signal,386,216,0.5595854922279793,170,0.44041450777202074,3773.2901554404143,2414.0,-29872.0,53438.0,9962.326424870465,6702.5,0.0,53438.0,-6595.940414507772,-5422.0,-29872.0,0.0,16558.266839378237,14212.0,3518.0,58975.0,10369.230569948186,7324.5,0.0,58714.0
Holdout35,DOWN_DOWN_DOWN,ALL,bullish_success,67,67,1.0,0,0.0,6227.940298507463,5086.0,172.0,23554.0,9569.611940298508,8821.0,517.0,25785.0,-4689.328358208955,-4000.0,-12055.0,0.0,14258.940298507463,13497.0,5738.0,29133.0,10917.268656716418,10738.0,1594.0,27894.0
Holdout35,DOWN_DOWN_DOWN,ALL,all_signal,266,67,0.2518796992481203,199,0.7481203007518797,-6177.154135338345,-7572.0,-29362.0,23554.0,3284.09022556391,905.0,0.0,25785.0,-10378.436090225563,-9644.5,-31688.0,0.0,13662.526315789473,12978.0,978.0,31688.0,4201.2819548872185,2000.0,0.0,27894.0
All39,UP_UP_UP,ALL,bullish_success,216,216,1.0,0,0.0,14519.833333333334,13844.5,86.0,47135.0,17285.930555555555,16419.5,1379.0,47396.0,-3992.597222222222,-3348.5,-14298.0,0.0,21278.527777777777,21004.0,8017.0,58975.0,18512.430555555555,18122.5,1034.0,58714.0
All39,UP_UP_UP,ALL,all_signal,303,216,0.7128712871287128,87,0.2871287128712871,8089.455445544554,7931.0,-28085.0,47135.0,13121.947194719472,12414.0,0.0,47396.0,-5747.006600660066,-4711.0,-28085.0,0.0,18868.953795379537,17414.0,5490.0,58975.0,13836.46204620462,11563.0,0.0,58714.0
All39,RIGHT,ALL,bullish_success,345,345,1.0,0,0.0,12766.84347826087,10862.0,86.0,53438.0,15839.631884057972,14138.0,690.0,53438.0,-4010.727536231884,-3319.0,-19556.0,0.0,19850.359420289857,18385.0,5581.0,58975.0,16777.571014492754,15414.0,1737.0,58714.0
All39,RIGHT,ALL,all_signal,558,345,0.6182795698924731,213,0.3817204301075269,5093.019713261649,3879.5,-29872.0,53438.0,10769.6541218638,8664.0,0.0,53438.0,-6228.351254480287,-5139.0,-29872.0,0.0,16998.005376344085,14950.0,1707.0,58975.0,11321.370967741936,8704.5,0.0,58714.0
All39,LOW_CONVERGENCE_RIGHT,ALL,bullish_success,253,253,1.0,0,0.0,12687.616600790514,10000.0,86.0,53438.0,15809.841897233202,13793.0,690.0,53438.0,-3922.8339920948615,-3117.0,-18018.0,0.0,19732.675889328064,18141.0,5581.0,58975.0,16610.450592885376,15414.0,1737.0,58714.0
All39,LOW_CONVERGENCE_RIGHT,ALL,all_signal,438,253,0.5776255707762558,185,0.4223744292237443,4192.632420091324,2777.0,-29872.0,53438.0,10211.760273972603,7672.5,0.0,53438.0,-6447.890410958904,-5422.0,-29872.0,0.0,16659.65068493151,14496.0,3518.0,58975.0,10640.522831050228,7931.5,0.0,58714.0
All39,DOWN_DOWN_DOWN,ALL,bullish_success,73,73,1.0,0,0.0,6055.479452054795,5000.0,172.0,23554.0,9312.616438356165,8621.0,517.0,25785.0,-4743.6164383561645,-4178.0,-12055.0,0.0,14056.232876712329,13464.0,3653.0,29133.0,10799.09589041096,10700.0,1584.0,27894.0
All39,DOWN_DOWN_DOWN,ALL,all_signal,299,73,0.24414715719063546,226,0.7558528428093646,-6199.5953177257525,-6933.0,-29362.0,23554.0,3203.9866220735785,862.0,0.0,25785.0,-10250.819397993311,-9511.0,-31688.0,0.0,13454.80602006689,12593.0,978.0,31688.0,4051.2240802675587,1778.0,0.0,27894.0
