scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max,bullish_rate_difference,close_mean_difference
Holdout35,UP_UP_UP,D: Low < -10000,all_signal,50,14,0.28,36,0.72,-6345.72,-9955.5,-28085.0,47135.0,3716.9,1293.0,0.0,47396.0,-14490.9,-13157.0,-28085.0,-10044.0,18207.8,16361.0,10311.0,58975.0,8145.18,5511.0,0.0,58714.0,,
Holdout35,UP_UP_UP,GROUP_1: Low >= -5000,wall_group,146,130,0.8904109589041096,16,0.1095890410958904,13677.739726027397,12931.0,-4978.0,45561.0,17591.575342465752,16813.0,690.0,46214.0,-2112.890410958904,-1999.5,-4978.0,0.0,19704.465753424658,18634.5,5490.0,46476.0,15790.630136986301,15178.0,0.0,45823.0,,
Holdout35,UP_UP_UP,GROUP_2: Low < -5000,wall_group,128,63,0.4921875,65,0.5078125,860.203125,-400.0,-28085.0,47135.0,7331.703125,3799.0,0.0,47396.0,-9969.6171875,-8755.5,-28085.0,-5067.0,17301.3203125,15555.5,5511.0,58975.0,10829.8203125,8046.5,0.0,58714.0,,
Holdout35,RIGHT,A: Low >= -3000,all_signal,156,139,0.8910256410256411,17,0.10897435897435898,13388.442307692309,12023.0,-2844.0,53438.0,17651.28846153846,16120.5,786.0,53438.0,-1251.7948717948718,-1165.0,-2933.0,0.0,18903.083333333332,17083.5,1707.0,55333.0,14640.23717948718,12971.5,0.0,55333.0,,
Holdout35,RIGHT,B: -5000 <= Low < -3000,all_signal,87,69,0.7931034482758621,18,0.20689655172413793,8452.551724137931,6897.0,-4711.0,35938.0,12314.885057471265,10088.0,0.0,40104.0,-3903.8505747126437,-3822.0,-4978.0,-3013.0,16218.735632183909,14089.0,3548.0,44051.0,12356.402298850575,10953.0,0.0,39885.0,,
Holdout35,RIGHT,C: -10000 <= Low < -5000,all_signal,153,76,0.49673202614379086,77,0.5032679738562091,2054.9281045751636,0.0,-9956.0,26033.0,7593.176470588235,5431.0,0.0,27273.0,-7183.803921568628,-6933.0,-9956.0,-5067.0,14776.980392156862,12249.0,5422.0,33847.0,9238.73202614379,6666.0,0.0,33722.0,,
Holdout35,RIGHT,D: Low < -10000,all_signal,101,20,0.19801980198019803,81,0.801980198019802,-7241.39603960396,-9244.0,-29872.0,47135.0,2705.2178217821784,0.0,0.0,47396.0,-14807.742574257425,-13333.0,-29872.0,-10044.0,17512.960396039605,16189.0,10133.0,58975.0,7566.346534653465,5155.0,0.0,58714.0,,
Holdout35,RIGHT,GROUP_1: Low >= -5000,wall_group,243,208,0.8559670781893004,35,0.1440329218106996,11621.271604938273,10000.0,-4711.0,53438.0,15740.724279835391,14483.0,0.0,53438.0,-2201.296296296296,-2152.0,-4978.0,0.0,17942.020576131687,16025.0,1707.0,55333.0,13822.567901234568,12133.0,0.0,55333.0,,
Holdout35,RIGHT,GROUP_2: Low < -5000,wall_group,254,96,0.3779527559055118,158,0.6220472440944882,-1641.6417322834645,-3778.0,-29872.0,47135.0,5649.53937007874,3405.0,0.0,47396.0,-10215.370078740158,-8696.0,-29872.0,-5067.0,15864.909448818898,14044.5,5422.0,58975.0,8573.728346456694,5733.5,0.0,58714.0,,
Holdout35,LOW_CONVERGENCE_RIGHT,A: Low >= -3000,all_signal,115,103,0.8956521739130435,12,0.10434782608695652,13343.539130434783,11379.0,-2844.0,53438.0,17547.521739130436,16207.0,1207.0,53438.0,-1234.1913043478262,-1067.0,-2933.0,0.0,18781.71304347826,16729.0,3518.0,55333.0,14577.730434782608,12149.0,0.0,55333.0,,
Holdout35,LOW_CONVERGENCE_RIGHT,B: -5000 <= Low < -3000,all_signal,61,44,0.7213114754098361,17,0.2786885245901639,7607.983606557377,4310.0,-4711.0,35938.0,11918.04918032787,9397.0,0.0,40104.0,-3879.6065573770493,-3784.0,-4978.0,-3013.0,15797.655737704918,12772.0,3548.0,44051.0,11487.590163934427,7332.0,0.0,39885.0,,
Holdout35,LOW_CONVERGENCE_RIGHT,C: -10000 <= Low < -5000,all_signal,124,56,0.45161290322580644,68,0.5483870967741935,1198.8306451612902,-1500.5,-9772.0,25041.0,7183.217741935484,5059.0,0.0,25289.0,-7220.387096774193,-7111.0,-9772.0,-5067.0,14403.604838709678,12053.0,5422.0,33847.0,8419.217741935483,5724.0,0.0,33722.0,,
Holdout35,LOW_CONVERGENCE_RIGHT,D: Low < -10000,all_signal,86,13,0.1511627906976744,73,0.8488372093023255,-8032.081395348837,-9867.0,-29872.0,47135.0,2439.220930232558,0.0,0.0,47396.0,-14792.058139534884,-13333.0,-29872.0,-10044.0,17231.279069767443,15534.0,10133.0,58975.0,6759.976744186047,3870.5,0.0,58714.0,,
Holdout35,LOW_CONVERGENCE_RIGHT,GROUP_1: Low >= -5000,wall_group,176,147,0.8352272727272727,29,0.16477272727272727,11355.647727272728,9284.0,-4711.0,53438.0,15596.397727272728,13527.0,0.0,53438.0,-2151.068181818182,-2133.0,-4978.0,0.0,17747.465909090908,15522.0,3518.0,55333.0,13506.71590909091,11160.0,0.0,55333.0,,
Holdout35,LOW_CONVERGENCE_RIGHT,GROUP_2: Low < -5000,wall_group,210,69,0.32857142857142857,141,0.6714285714285714,-2581.447619047619,-5333.0,-29872.0,47135.0,5240.438095238095,3146.5,0.0,47396.0,-10321.166666666666,-8711.0,-29872.0,-5067.0,15561.604761904762,13928.0,5422.0,58975.0,7739.719047619048,4613.5,0.0,58714.0,,
Holdout35,DOWN_DOWN_DOWN,A: Low >= -3000,all_signal,35,29,0.8285714285714286,6,0.17142857142857143,5437.0,4956.0,-2748.0,20579.0,10008.857142857143,9569.0,0.0,25785.0,-1410.2285714285715,-1422.0,-2793.0,0.0,11419.085714285715,11300.0,978.0,26040.0,6847.228571428572,6223.0,0.0,20579.0,,
Holdout35,DOWN_DOWN_DOWN,B: -5000 <= Low < -3000,all_signal,27,11,0.4074074074074074,16,0.5925925925925926,1695.5925925925926,-444.0,-4800.0,23554.0,6301.0,5431.0,0.0,24793.0,-4030.3333333333335,-4089.0,-4912.0,-3089.0,10331.333333333334,9434.0,3289.0,29133.0,5725.925925925926,3105.0,0.0,27894.0,,
Holdout35,DOWN_DOWN_DOWN,C: -10000 <= Low < -5000,all_signal,76,20,0.2631578947368421,56,0.7368421052631579,-3364.9473684210525,-5689.0,-9956.0,13621.0,3253.7894736842104,1164.0,0.0,20579.0,-7989.184210526316,-8456.0,-9956.0,-5244.0,11242.973684210527,9644.5,5244.0,29770.0,4624.236842105263,1867.0,0.0,21836.0,,
Holdout35,DOWN_DOWN_DOWN,D: Low < -10000,all_signal,128,7,0.0546875,121,0.9453125,-12683.3046875,-11911.0,-29362.0,7069.0,826.8984375,0.0,0.0,7586.0,-15588.3515625,-14222.0,-31688.0,-10088.0,16415.25,15505.5,10088.0,31688.0,2905.046875,522.0,0.0,18980.0,,
Holdout35,DOWN_DOWN_DOWN,GROUP_1: Low >= -5000,wall_group,62,40,0.6451612903225806,22,0.3548387096774194,3807.6774193548385,1983.0,-4800.0,23554.0,8394.145161290322,8199.0,0.0,25785.0,-2551.2419354838707,-2400.0,-4912.0,0.0,10945.387096774193,10132.0,978.0,29133.0,6358.919354838709,3782.5,0.0,27894.0,,
Holdout35,DOWN_DOWN_DOWN,GROUP_2: Low < -5000,wall_group,204,27,0.1323529411764706,177,0.8676470588235294,-9211.759803921568,-9288.5,-29362.0,13621.0,1731.0343137254902,86.0,0.0,20579.0,-12757.289215686274,-11378.0,-31688.0,-5244.0,14488.323529411764,13666.0,5244.0,31688.0,3545.529411764706,889.0,0.0,21836.0,,
All39,UP_UP_UP,A: Low >= -3000,all_signal,111,102,0.918918918918919,9,0.08108108108108109,15678.963963963964,14655.0,-1956.0,45561.0,19732.225225225226,19138.0,3319.0,46214.0,-1231.873873873874,-1171.0,-2857.0,0.0,20964.099099099098,20679.0,5842.0,46476.0,16910.837837837837,16428.0,0.0,45823.0,,
All39,UP_UP_UP,B: -5000 <= Low < -3000,all_signal,49,41,0.8367346938775511,8,0.16326530612244897,10162.65306122449,10517.0,-4978.0,31538.0,13874.102040816326,12414.0,690.0,31538.0,-4045.714285714286,-3911.0,-4978.0,-3013.0,17919.816326530614,16664.0,5490.0,36473.0,14208.367346938776,13895.0,0.0,36473.0,,
All39,UP_UP_UP,C: -10000 <= Low < -5000,all_signal,91,59,0.6483516483516484,32,0.3516483516483517,6082.67032967033,4138.0,-9956.0,38205.0,10109.857142857143,8448.0,0.0,39231.0,-7156.516483516483,-6756.0,-9956.0,-5067.0,17266.373626373625,15169.0,5511.0,47023.0,13239.186813186812,11205.0,0.0,45997.0,,
