scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max,machine
All39,UP_UP_UP,GROUP_1: Low >= -5000,machine_wall,3,3,1.0,0,0.0,20053.0,20579.0,10862.0,28718.0,21849.333333333332,20826.0,12414.0,32308.0,-904.0,-779.0,-1422.0,-511.0,22753.333333333332,21337.0,13836.0,33087.0,20957.0,21090.0,12284.0,29497.0,046
All39,UP_UP_UP,GROUP_2: Low < -5000,machine_wall,7,4,0.5714285714285714,3,0.42857142857142855,3920.714285714286,517.0,-28085.0,47135.0,12590.42857142857,5204.0,0.0,47396.0,-11909.714285714286,-9694.0,-28085.0,-5122.0,24500.14285714286,15644.0,9727.0,58975.0,15830.42857142857,5761.0,0.0,58714.0,046
All39,RIGHT,GROUP_1: Low >= -5000,machine_wall,4,4,1.0,0,0.0,17712.0,18479.0,5172.0,28718.0,19813.5,19464.5,8017.0,32308.0,-2144.75,-1900.5,-4267.0,-511.0,21958.25,21853.5,11039.0,33087.0,19856.75,20868.0,8194.0,29497.0,046
All39,RIGHT,GROUP_2: Low < -5000,machine_wall,8,4,0.5,4,0.5,6073.0,-61.0,-19200.0,47135.0,13117.875,6050.5,0.0,47396.0,-9932.75,-9380.5,-19200.0,-5122.0,23050.625,17048.5,10029.0,58975.0,16005.75,8722.0,0.0,58714.0,046
All39,LOW_CONVERGENCE_RIGHT,GROUP_1: Low >= -5000,machine_wall,3,3,1.0,0,0.0,16756.333333333332,16379.0,5172.0,28718.0,19476.0,18103.0,8017.0,32308.0,-2689.3333333333335,-3022.0,-4267.0,-779.0,22165.333333333332,22370.0,11039.0,33087.0,19445.666666666668,20646.0,8194.0,29497.0,046
All39,LOW_CONVERGENCE_RIGHT,GROUP_2: Low < -5000,machine_wall,8,4,0.5,4,0.5,6073.0,-61.0,-19200.0,47135.0,13117.875,6050.5,0.0,47396.0,-9932.75,-9380.5,-19200.0,-5122.0,23050.625,17048.5,10029.0,58975.0,16005.75,8722.0,0.0,58714.0,046
All39,DOWN_DOWN_DOWN,GROUP_1: Low >= -5000,machine_wall,0,0,,0,,,,,,,,,,,,,,,,,,,,,,046
All39,DOWN_DOWN_DOWN,GROUP_2: Low < -5000,machine_wall,5,0,0.0,5,1.0,-10578.2,-11200.0,-21957.0,-800.0,1342.6,248.0,0.0,5862.0,-12498.2,-11200.0,-21957.0,-5600.0,13840.8,11717.0,5864.0,22205.0,1920.0,0.0,0.0,4978.0,046
All39,UP_UP_UP,GROUP_1: Low >= -5000,machine_wall,4,4,1.0,0,0.0,16990.0,17058.0,11034.0,22810.0,20348.0,21222.0,13448.0,25500.0,-1982.0,-2097.5,-3733.0,0.0,22330.0,24110.0,13448.0,27652.0,18972.0,20000.5,11034.0,24853.0,047
All39,UP_UP_UP,GROUP_2: Low < -5000,machine_wall,5,1,0.2,4,0.8,-7500.2,-6578.0,-22785.0,5284.0,2859.6,2759.0,0.0,5677.0,-10612.4,-7467.0,-22785.0,-5921.0,13472.0,11598.0,10226.0,22785.0,3112.2,0.0,0.0,11205.0,047
