signal_date,next_date,up_up_up_count,right_count,low_convergence_right_count,any_signal_machine_count,all3_machine_count,down_down_down_count,score_1_count,score_2_count,score_3_count,next_day_bullish_count,next_day_bullish_rate,next_day_Close_mean,next_day_Close_sum,direction_balance
2026-08-10,2026-08-11,4,9,5,10,0,4,1,0,0,22,0.5641025641025641,2963.8,110025.0,0
2026-08-11,2026-08-12,3,9,8,10,1,7,1,1,0,14,0.358974358974359,-2414.9222222222224,-96549.0,-4
2026-08-12,2026-08-13,5,8,6,9,2,10,1,2,1,18,0.46153846153846156,-1052.05,-48530.0,-5
2026-08-13,2026-08-14,4,11,8,11,2,3,1,1,1,17,0.4358974358974359,-224.2555555555556,-13901.0,1
2026-08-14,2026-08-15,3,6,6,9,0,5,2,3,1,14,0.358974358974359,-4448.588888888889,-168765.0,-2
2026-08-15,2026-08-16,4,10,10,13,1,3,0,5,2,16,0.41025641025641024,174.13333333333333,25797.0,1
2026-08-16,2026-08-17,2,11,10,12,1,5,0,3,0,16,0.41025641025641024,-1715.322222222222,-78617.0,-3
2026-08-17,2026-08-18,10,11,7,14,4,5,2,1,3,19,0.48717948717948717,1097.038888888889,39371.0,5
2026-08-18,2026-08-19,9,12,10,14,5,4,0,3,1,21,0.5384615384615384,2396.222222222222,87431.0,5
2026-08-19,2026-08-20,6,8,4,9,2,9,0,3,0,16,0.41025641025641024,-2555.633333333333,-96008.0,-3
2026-08-20,2026-08-21,7,5,2,9,0,6,1,1,1,16,0.41025641025641024,-2599.383333333333,-93779.0,1
2026-08-21,2026-08-22,0,10,10,10,0,3,0,3,0,19,0.48717948717948717,-145.99444444444444,-475.0,-3
2026-08-22,2026-08-23,6,7,6,10,2,5,1,1,4,19,0.48717948717948717,-965.6666666666666,-40794.0,1
2026-08-23,2026-08-24,7,6,4,11,2,6,4,0,1,18,0.46153846153846156,-1302.2777777777778,-42494.0,1
2026-08-24,2026-08-25,6,14,12,16,3,7,0,2,0,13,0.3333333333333333,-3630.6722222222224,-138707.0,-1
2026-08-25,2026-08-26,7,13,10,16,2,5,0,3,2,16,0.41025641025641024,-2267.6,-87412.0,2
