split,machine,feature,n,bullish_count,bullish_rate,baseline,lift,wilson_low,wilson_high,non_bullish_count,non_bullish_rate
discovery,056,RIGHT + STABLE,1,1,1.0,0.5,0.5,0.20654329147389294,1.0,0,0.0
discovery,056,low_convergence + TRANSITION,3,2,0.6666666666666666,0.5,0.16666666666666663,0.2076549551264879,0.9385096847238394,1,0.3333333333333333
discovery,056,DOWN-DOWN-DOWN,5,3,0.6,0.5,0.09999999999999998,0.23071993220883708,0.8823817688407467,2,0.4
validation,056,UP-UP-UP,4,4,1.0,0.5333333333333333,0.4666666666666667,0.5100999795960008,1.0,0,0.0
validation,056,RIGHT,8,4,0.5,0.5333333333333333,-0.033333333333333326,0.21521252682444186,0.7847874731755582,4,0.5
validation,056,low_convergence + RIGHT,6,4,0.6666666666666666,0.5333333333333333,0.1333333333333333,0.29998832134152864,0.9032306674407831,2,0.3333333333333333
validation,056,RIGHT + STABLE,5,2,0.4,0.5333333333333333,-0.1333333333333333,0.1176182311592533,0.769280067791163,3,0.6
validation,056,low_convergence + TRANSITION,3,3,1.0,0.5333333333333333,0.4666666666666667,0.43849391955098227,1.0,0,0.0
validation,056,DOWN-DOWN-DOWN,4,2,0.5,0.5333333333333333,-0.033333333333333326,0.15003570882017148,0.8499642911798285,2,0.5
discovery,075,UP-UP-UP,4,3,0.75,0.6,0.15000000000000002,0.3006360524426366,0.9544139373553637,1,0.25
discovery,075,RIGHT,9,6,0.6666666666666666,0.6,0.06666666666666665,0.35419734749908977,0.879418401317257,3,0.3333333333333333
discovery,075,low_convergence + RIGHT,8,5,0.625,0.6,0.025000000000000022,0.30573785458380187,0.863158240538479,3,0.375
discovery,075,RIGHT + STABLE,1,1,1.0,0.6,0.4,0.20654329147389294,1.0,0,0.0
discovery,075,low_convergence + TRANSITION,4,3,0.75,0.6,0.15000000000000002,0.3006360524426366,0.9544139373553637,1,0.25
discovery,075,DOWN-DOWN-DOWN,3,1,0.3333333333333333,0.6,-0.26666666666666666,0.0614903152761605,0.7923450448735121,2,0.6666666666666666
validation,075,UP-UP-UP,1,1,1.0,0.5333333333333333,0.4666666666666667,0.20654329147389294,1.0,0,0.0
validation,075,RIGHT,5,4,0.8,0.5333333333333333,0.2666666666666667,0.3755282641185388,0.9637768390302125,1,0.2
validation,075,low_convergence + RIGHT,4,3,0.75,0.5333333333333333,0.21666666666666667,0.3006360524426366,0.9544139373553637,1,0.25
validation,075,RIGHT + STABLE,3,3,1.0,0.5333333333333333,0.4666666666666667,0.43849391955098227,1.0,0,0.0
validation,075,low_convergence + TRANSITION,7,5,0.7142857142857143,0.5333333333333333,0.18095238095238098,0.35892909014821267,0.9177828342909844,2,0.2857142857142857
validation,075,DOWN-DOWN-DOWN,5,0,0.0,0.5333333333333333,-0.5333333333333333,-2.7755575615628914e-17,0.43449149475208104,5,1.0
discovery,077,UP-UP-UP,5,4,0.8,0.36666666666666664,0.4333333333333334,0.3755282641185388,0.9637768390302125,1,0.2
discovery,077,RIGHT,9,5,0.5555555555555556,0.36666666666666664,0.18888888888888894,0.2666473457440297,0.811224570528086,4,0.4444444444444444
discovery,077,low_convergence + RIGHT,9,5,0.5555555555555556,0.36666666666666664,0.18888888888888894,0.2666473457440297,0.811224570528086,4,0.4444444444444444
discovery,077,RIGHT + STABLE,2,1,0.5,0.36666666666666664,0.13333333333333336,0.09452865480086614,0.9054713451991339,1,0.5
discovery,077,low_convergence + TRANSITION,2,1,0.5,0.36666666666666664,0.13333333333333336,0.09452865480086614,0.9054713451991339,1,0.5
discovery,077,DOWN-DOWN-DOWN,4,0,0.0,0.36666666666666664,-0.36666666666666664,0.0,0.48990002040399916,4,1.0
validation,077,UP-UP-UP,4,3,0.75,0.43333333333333335,0.31666666666666665,0.3006360524426366,0.9544139373553637,1,0.25
validation,077,RIGHT,7,5,0.7142857142857143,0.43333333333333335,0.28095238095238095,0.35892909014821267,0.9177828342909844,2,0.2857142857142857
validation,077,low_convergence + RIGHT,6,5,0.8333333333333334,0.43333333333333335,0.4,0.43649056343635395,0.9699474141282697,1,0.16666666666666666
validation,077,RIGHT + STABLE,4,4,1.0,0.43333333333333335,0.5666666666666667,0.5100999795960008,1.0,0,0.0
validation,077,low_convergence + TRANSITION,5,2,0.4,0.43333333333333335,-0.033333333333333326,0.1176182311592533,0.769280067791163,3,0.6
validation,077,DOWN-DOWN-DOWN,4,0,0.0,0.43333333333333335,-0.43333333333333335,0.0,0.48990002040399916,4,1.0
