time,minute,machine,group,value,delta_5m,delta_10m,delta_30m
13:00,780,0039,g3,-8622,0,0,-444
13:05,785,0039,g3,-8622,0,0,-444
13:10,790,0039,g3,-8622,0,0,-444
13:15,795,0039,g3,-8622,0,0,-444
13:20,800,0039,g3,-8622,0,0,0
13:25,805,0039,g3,-6933,1689,1689,1689
13:30,810,0039,g3,-6933,0,1689,1689
13:35,815,0039,g3,-6933,0,0,1689
13:40,820,0039,g3,-6933,0,0,1689
13:45,825,0039,g3,-6933,0,0,1689
13:50,830,0039,g3,-8000,-1067,-1067,622
13:55,835,0039,g3,-8000,0,-1067,-1067
14:00,840,0039,g3,-8000,0,0,-1067
14:05,845,0039,g3,-8000,0,0,-1067
14:10,850,0039,g3,-8000,0,0,-1067
14:15,855,0039,g3,-8000,0,0,-1067
14:20,860,0039,g3,-8000,0,0,0
14:25,865,0039,g3,-8000,0,0,0
14:30,870,0039,g3,-3911,4089,4089,4089
14:35,875,0039,g3,-3911,0,4089,4089
14:40,880,0039,g3,-3911,0,0,4089
14:45,885,0039,g3,-2400,1511,1511,5600
14:50,890,0039,g3,-2400,0,1511,5600
14:55,895,0039,g3,-2400,0,0,5600
15:00,900,0039,g3,-2400,0,0,1511
15:05,905,0039,g3,-2400,0,0,1511
15:10,910,0039,g3,-2400,0,0,1511
15:15,915,0039,g3,-2400,0,0,0
15:20,920,0039,g3,-2400,0,0,0
15:25,925,0039,g3,-2400,0,0,0
15:30,930,0039,g3,-1067,1333,1333,1333
15:35,935,0039,g3,-1067,0,1333,1333
15:40,940,0039,g3,-1067,0,0,1333
15:45,945,0039,g3,-2133,-1066,-1066,267
15:50,950,0039,g3,-2133,0,-1066,267
15:55,955,0039,g3,-2133,0,0,267
16:00,960,0039,g3,-2133,0,0,-1066
16:05,965,0039,g3,-2133,0,0,-1066
16:10,970,0039,g3,-2133,0,0,-1066
16:15,975,0039,g3,-2133,0,0,0
16:20,980,0039,g3,-2133,0,0,0
16:25,985,0039,g3,-2133,0,0,0
16:30,990,0039,g3,-533,1600,1600,1600
16:35,995,0039,g3,-533,0,1600,1600
16:40,1000,0039,g3,-533,0,0,1600
16:45,1005,0039,g3,-533,0,0,1600
16:50,1010,0039,g3,4828,5361,5361,6961
16:55,1015,0039,g3,4828,0,5361,6961
17:00,1020,0039,g3,4828,0,0,5361
17:05,1025,0039,g3,4828,0,0,5361
17:10,1030,0039,g3,4828,0,0,5361
17:15,1035,0039,g3,4828,0,0,5361
17:20,1040,0039,g3,4828,0,0,0
17:25,1045,0039,g3,4828,0,0,0
17:30,1050,0039,g3,4224,-604,-604,-604
17:35,1055,0039,g3,4224,0,-604,-604
17:40,1060,0039,g3,4224,0,0,-604
17:45,1065,0039,g3,4224,0,0,-604
17:50,1070,0039,g3,3276,-948,-948,-1552
17:55,1075,0039,g3,3276,0,-948,-1552
18:00,1080,0039,g3,3276,0,0,-948
18:05,1085,0039,g3,3276,0,0,-948
18:10,1090,0039,g3,3276,0,0,-948
18:15,1095,0039,g3,3276,0,0,-948
18:20,1100,0039,g3,3276,0,0,0
18:25,1105,0039,g3,5431,2155,2155,2155
18:30,1110,0039,g3,5431,0,2155,2155
18:35,1115,0039,g3,5431,0,0,2155
18:40,1120,0039,g3,5431,0,0,2155
18:45,1125,0039,g3,5431,0,0,2155
18:50,1130,0039,g3,4310,-1121,-1121,1034
