date,machine,long_x,long_y,long_region,long_top_side,mid_x,mid_y,mid_region,mid_top_side,short_x,short_y,short_region,short_top_side,top_wave_count,top_wave_pattern,centroid_x,centroid_y,centroid_y_offset,centroid_region,bullish,next_day_bullish
2026-07-08,077,217.68096526589716,147.30066057551107,LEFT,True,326.8185954682063,233.16611999501782,BOTTOM,False,304.28265664366927,80.10769156204505,TOP,True,2,LONG+SHORT,282.9274057925909,153.52482404419132,-36.47517595580868,TOP,False,True
2026-07-09,077,239.9024684247024,215.76898529098054,LEFT,False,314.3652357210316,81.21984864378753,TOP,True,253.22601808758444,225.43039723524583,LEFT,False,1,MID,269.1645740777728,174.13974372333794,-15.860256276662057,LEFT,True,False
2026-07-10,077,286.84031885575064,235.39639391601307,BOTTOM,False,259.01428518240414,228.35669366306146,LEFT,False,368.5958711506783,206.4453263691615,RIGHT,False,0,NONE,304.81682506294436,223.3994713160787,33.39947131607869,BOTTOM,False,True
2026-07-11,077,329.20459241313006,232.55818640346212,BOTTOM,False,379.9108092116603,184.79431632699723,RIGHT,True,253.36637519071195,93.93296554613543,TOP,True,2,MID+SHORT,320.8272589385008,170.42848942553158,-19.57151057446842,RIGHT,True,False
2026-07-12,077,374.9808990688133,196.44924976427637,RIGHT,False,221.46107808420575,133.67247056487872,LEFT,True,279.52696312137937,234.44664571237143,BOTTOM,False,1,MID,291.9896467581328,188.18945534717554,-1.8105446528244613,LEFT,False,False
2026-07-13,077,370.46274260897354,117.77150037338542,TOP,True,312.1689256914555,235.48747356534537,BOTTOM,False,383.29328122330435,168.23659833329194,RIGHT,True,2,LONG+SHORT,355.3083165079111,173.83185742400758,-16.16814257599242,RIGHT,False,True
2026-07-14,077,287.8859350136146,80.86561806095114,TOP,True,344.2572614064227,92.42549012673481,TOP,True,221.66833353296727,133.12678930839962,LEFT,True,3,LONG+MID+SHORT,284.6038433176682,102.13929916536186,-87.86070083463814,TOP,True,False
2026-07-15,077,219.98809594796586,137.9581830786492,LEFT,True,242.71609270225935,218.22095252435162,LEFT,False,302.72599031170677,235.97535720167997,BOTTOM,False,1,LONG,255.14339298731065,197.38483093489359,7.384830934893586,LEFT,False,False
2026-07-16,077,234.86014101222204,210.64353646395276,LEFT,False,368.8673054872156,206.08651200617217,RIGHT,False,373.21177707522395,122.28051106801169,RIGHT,True,1,SHORT,325.6464078582205,179.6701865127122,-10.329813487287794,RIGHT,False,False
2026-07-17,077,282.07494021489117,234.8362256770034,BOTTOM,False,237.08973543299038,107.9461335201429,TOP,True,218.3989490334812,178.73967006402344,LEFT,True,2,MID+SHORT,245.85454156045424,173.84067642038994,-16.15932357961006,LEFT,False,False
2026-07-18,077,324.0979108776361,233.77242456874635,BOTTOM,False,298.47603871323156,235.99231113637592,BOTTOM,False,326.51532520546266,233.23818701314315,BOTTOM,False,0,NONE,316.36309159877675,234.33430757275514,44.33430757275514,BOTTOM,False,True
2026-07-19,077,370.92841718147554,203.19833625505214,RIGHT,False,367.3170903717437,113.30118445918987,TOP,True,335.4292054074297,87.72562715862692,TOP,True,2,MID+SHORT,357.891570986883,134.74171595762297,-55.25828404237703,RIGHT,True,True
2026-07-20,077,375.4429154609055,126.50720895185633,RIGHT,True,228.1677351354128,201.83018172200354,LEFT,False,237.22858064641156,213.18029592047068,LEFT,False,1,LONG,280.2797437475766,180.50589553144354,-9.494104468556458,LEFT,True,False
2026-07-21,077,298.638920837682,80.01087096819947,TOP,True,353.6716791554101,221.01585313100614,RIGHT,False,353.35087228352137,221.24668184394426,RIGHT,False,1,LONG,335.22049075887116,174.0911353143833,-15.908864685616692,RIGHT,False,True
2026-07-22,077,223.48699848818723,128.7759938711555,LEFT,True,262.0136071166292,88.95057336791942,TOP,True,282.8196407935355,81.75044186028241,TOP,True,3,LONG+MID+SHORT,256.1067487994506,99.82566969978576,-90.17433030021424,TOP,True,False
2026-07-23,077,230.17974684748816,204.78851599006248,LEFT,False,284.6486067831145,235.16466874474588,BOTTOM,False,264.0947619116211,230.43142370480342,BOTTOM,False,0,NONE,259.6410385140746,223.46153614653727,33.46153614653727,LEFT,False,False
2026-07-24,077,277.1645298475195,234.02395648241625,BOTTOM,False,380.5984869949088,139.9251214073573,RIGHT,True,376.6956418644039,192.98893621255166,RIGHT,False,1,MID,344.8195529022774,188.97933803410842,-1.020661965891577,RIGHT,False,False
2026-07-25,077,319.1484972157839,234.6574594634058,BOTTOM,False,218.5179517022492,179.2396837452766,LEFT,True,237.50080345353746,107.4907278234913,TOP,True,2,MID+SHORT,258.3890841238569,173.79595701072458,-16.204042989275422,LEFT,False,False
2026-07-26,077,366.35860124950887,209.23628637194244,RIGHT,False,337.3326277908635,229.89145804559575,BOTTOM,False,289.0701714483033,235.58991984720365,BOTTOM,False,0,NONE,330.92046682955856,224.90588808824728,34.90588808824728,BOTTOM,False,False
2026-07-27,077,379.242517225454,135.6216156529749,RIGHT,True,292.85375228247443,80.30020381451335,TOP,True,382.7409029699878,149.83525204645449,RIGHT,True,3,LONG+MID+SHORT,351.6123908259721,121.9190238379809,-68.0809761620191,TOP,False,True
2026-07-28,077,309.4164169092795,80.5219317484789,TOP,True,269.6964756038831,232.25298286979464,BOTTOM,False,216.994564730485,151.76599358259944,LEFT,True,2,LONG+SHORT,265.3691524145492,154.846969400291,-35.15303059970901,TOP,True,False
2026-07-29,077,228.17232866832083,119.92828670940455,LEFT,True,383.33921035176985,167.70488052060344,RIGHT,True,311.8915361885798,235.51150059632494,BOTTOM,False,2,LONG+MID,307.80102506955683,174.38155594211096,-15.618444057889036,TOP,False,True
2026-07-30,077,225.9849457781998,198.21577179329702,LEFT,False,216.9276098202816,152.3205231303192,LEFT,True,361.0409207742838,105.92813226495156,TOP,True,2,MID+SHORT,267.98449212425504,152.15480906285595,-37.845190937144054,TOP,True,False
