date,machine,long_phase,mid_phase,short_phase,long_x,long_y,mid_x,mid_y,short_x,short_y,distance_long_mid,distance_mid_short,distance_short_long,mean_pair_distance,max_pair_distance,min_pair_distance,convergence_score,phase_convergence,centroid_x,centroid_y,centroid_region,bullish,next_day_bullish,wave_direction_pattern
2026-07-09,056,165.99368463874657,207.23280690303557,254.4632710190067,326.3929089431232,84.19350848435215,251.28637472542007,95.34688600657563,216.59201656573842,166.81132862122985,75.93016075544848,79.4409532063625,137.4115721874963,97.59422871643575,137.4115721874963,75.93016075544848,0.3754019446022896,False,264.75710007809386,115.45057437071921,TOP,True,False,DOWN-DOWN-DOWN
2026-07-10,056,317.86868463874725,235.35780690303557,35.0882710190067,263.5949493638311,230.2460262104316,220.8624348081566,135.32059507275062,329.78547298309707,232.39888822355726,104.10045762111496,145.90552849818096,66.22552553087188,105.41050388338927,145.90552849818096,66.22552553087188,0.33679305228099565,False,271.41428571836155,199.3218365022465,LEFT,False,True,UP-DOWN-UP
2026-07-11,056,109.7436846387468,263.48280690303557,175.71327101900692,383.58916360094236,159.99882446489798,218.89547582625607,180.73465239180163,308.2155614389544,80.39699831587718,165.99393167414286,134.3343683474919,109.62495440880495,136.65108481014656,165.99393167414286,109.62495440880495,0.24548212875389608,False,303.56673362205095,140.3768250575256,TOP,True,False,DOWN-DOWN-DOWN
2026-07-12,056,261.61868463874634,291.60780690303557,316.3382710190067,218.21852860836515,177.9508128493702,238.4372789296421,214.3841093346673,262.13139615378475,229.68026040440935,41.66752881249017,28.20254294526974,67.85481324424312,45.90829500066767,67.85481324424312,28.20254294526974,0.6915690307079858,True,239.59573456393068,207.33839419614893,LEFT,False,False,DOWN-DOWN-UP
2026-07-13,056,53.4936846387468,319.73280690303557,96.9632710190067,347.3938138157944,225.07766233109055,265.36661932572395,230.88571635043425,381.2755206946399,180.07350319516246,82.23256123582345,126.55731674733731,56.33244536282753,88.3741077819961,126.55731674733731,56.33244536282753,0.42473946933028495,False,331.34531794538606,212.01229395889575,RIGHT,False,True,UP-DOWN-UP
2026-07-14,056,205.3686846387468,347.85780690303557,237.5882710190067,254.1935246710507,93.39555516457845,290.17384839477444,235.67078515916648,219.67095813510977,138.99857005112432,146.75430067046375,119.65021817306433,57.196525829555355,107.86701489102781,146.75430067046375,57.196525829555355,0.33293499695243756,False,254.67944373364494,156.02163679162308,LEFT,True,True,DOWN-DOWN-DOWN
2026-07-15,056,357.24368463874725,15.982806903035566,18.213271019006243,297.78616136673367,235.98376045921788,313.0066501797323,235.41100484785994,314.87861876054666,235.21827421006688,15.231261559600302,1.8818638277782833,17.10958997045083,11.407571785943139,17.10958997045083,1.8818638277782833,0.9222291364979508,True,308.55714343567087,235.53767983904822,BOTTOM,True,False,UP-UP-UP
2026-07-16,056,149.1186846387468,44.107806903035566,158.83827101900624,354.1303103415448,99.48787079530159,338.29658853355517,229.508240476895,338.93118004366295,89.43023107822724,130.98092715518175,140.079446827427,18.22552272200889,96.42863223487255,140.079446827427,18.22552272200889,0.36327524169351366,False,343.7860263062543,139.47544745014127,TOP,False,False,DOWN-UP-DOWN
2026-07-17,056,300.99368463874634,72.23280690303557,299.4632710190067,247.26202817180132,221.68025925951338,364.98067028179935,210.82197575668715,245.7917482692553,220.6236967068245,118.21836160618007,119.5912741971448,1.810537881286997,79.87339122820396,119.5912741971448,1.810537881286997,0.4564032991038873,False,286.011482240952,217.708643907675,BOTTOM,False,True,UP-UP-UP
2026-07-18,056,92.86868463874725,100.35780690303557,80.0882710190067,379.5017546024499,186.01617733107446,382.3885989256818,174.94156940852614,371.40981088572653,202.47807117618945,11.44468482679825,29.644438203932776,18.343214060857868,19.81077903052963,29.644438203932776,11.44468482679825,0.8652525536184874,True,377.7667214712861,187.81193930526334,RIGHT,True,True,UP-UP-UP
2026-07-19,056,244.7436846387468,128.48280690303557,220.7132710190067,217.1079299049889,150.89439210420733,376.6457621767949,129.07075075523306,233.3014202163494,112.49206791830224,161.02357357764595,144.29987212981402,41.67694364206038,115.6667964498401,161.02357357764595,41.67694364206038,0.2680746655561548,False,275.6850374327111,130.81907025924752,TOP,True,True,DOWN-UP-DOWN
2026-07-20,056,36.618684638746345,156.60780690303557,1.3382710190066973,331.2058337235973,231.99007619663985,342.62829414889205,91.45498724598082,301.074539000747,235.99617886957188,140.9985242069472,150.39571351231945,30.396443546924058,107.26356042206356,150.39571351231945,30.396443546924058,0.316383120398548,False,324.9695556244121,186.48041410406418,RIGHT,True,True,UP-UP-UP
2026-07-21,056,188.4936846387468,184.73280690303557,141.96327101900624,283.80479490726094,81.5535853745748,290.9329951830259,80.48380445924519,363.5906682115793,108.71511453340652,7.2080281893330165,77.94962680107982,84.28246700933006,56.48004066658097,84.28246700933006,7.2080281893330165,0.616897877230318,True,312.77615276728875,90.2508347890755,TOP,True,True,DOWN-DOWN-DOWN
2026-07-22,056,340.3686846387468,212.85780690303557,282.58827101900624,283.9206366800041,235.07811923006273,243.09638586659116,101.89821286707084,230.68155184382772,205.4796104671531,139.2964712881548,104.3227397675075,60.91364276729497,101.5109512743191,139.2964712881548,60.91364276729497,0.3668342214174781,False,252.56619146347433,180.81864752142891,LEFT,True,False,UP-DOWN-DOWN
2026-07-23,056,132.24368463874725,240.98280690303545,63.2132710190067,373.6687949633091,123.09879626226218,218.21715772835893,144.63494340048248,356.7559367986094,218.65298823395963,156.93634745522027,157.07216261084045,97.03941660306526,137.01597555637534,157.07216261084045,97.03941660306526,0.2860356244961798,False,316.21396316342583,162.12890929890145,TOP,False,False,DOWN-DOWN-UP
2026-07-24,056,284.11868463874634,269.10780690303557,203.8382710190067,231.92619097947403,207.12256096398178,221.51124237239938,188.77769725967735,256.64611621649965,91.88114232960264,21.09514585911916,103.0698875392703,117.86288335429592,80.67597225089513,117.86288335429592,21.09514585911916,0.4642596211168367,False,236.69451652279102,162.5938001844206,LEFT,False,False,DOWN-DOWN-DOWN
2026-07-25,056,75.99368463874634,297.2328069030357,344.4632710190076,368.16632715373044,207.0037550606194,243.66621890178652,218.9924186002929,287.36541400531723,235.4456972600907,125.07599693071909,46.694004233449505,85.6605605964348,85.81018725353447,125.07599693071909,46.694004233449505,0.43147274122400414,False,299.7326533536114,220.48062364033433,BOTTOM,False,False,UP-DOWN-UP
2026-07-26,056,227.86868463874725,325.35780690303545,125.0882710190067,226.234624974129,123.27459960961887,270.62648177941776,232.51232646346315,378.87672999109657,134.58862464135296,117.9131795806404,145.96974897709325,153.06083557340742,138.98125471038034,153.06083557340742,117.9131795806404,0.3042689292117845,False,291.91261224821443,163.45851690481166,TOP,False,True,DOWN-DOWN-DOWN
2026-07-27,056,19.743684638746345,353.48280690303545,265.71327101900715,316.17488248952833,235.06639738370632,294.7554667887449,235.90819347520886,219.8329704210397,183.990883946933,21.435950868170885,91.15255065341618,109.0434413151126,73.87731427889989,109.0434413151126,21.435950868170885,0.5043479940222154,True,276.92110656643763,218.32182493528273,BOTTOM,True,True,UP-UP-DOWN
2026-07-28,056,171.61868463874725,21.607806903035453,46.33827101900715,315.9838297244417,81.51292141146558,317.76766475424955,234.8581399601252,340.44487488606194,228.59830880796846,153.3555937002291,23.525334119112657,149.1055126947966,108.66214683804611,153.3555937002291,23.525334119112657,0.30292911954441326,False,324.7321231215844,181.65645672651976,RIGHT,True,False,DOWN-UP-UP
2026-07-29,056,323.49368463874725,49.73280690303568,186.96327101900715,268.89881875427506,232.02114666303544,343.7348551822559,227.04682278962463,286.69297855637046,81.04564097591951,75.00117496578078,156.74859099845622,152.02050993383386,127.92342529935695,156.74859099845622,75.00117496578078,0.2875064045524717,False,299.7755508309671,180.03787014285987,TOP,False,False,UP-UP-DOWN
2026-07-30,056,115.36868463874634,77.85780690303568,327.58827101900715,382.86647876462433,150.70759144058772,369.67477573235743,204.99065336889254,272.67204998422585,233.04248024220703,55.862973794846404,100.97739248711882,137.55670121158522,98.13235583118347,137.55670121158522,55.862973794846404,0.3747422672200672,False,341.73776816040254,196.24690835056242,RIGHT,False,True,DOWN-UP-UP
2026-07-31,056,267.24368463874725,105.98280690303568,108.21327101900715,220.55319588970758,186.1751191622335,383.4554238317072,166.09664205808755,383.59284219112396,162.49461524572192,164.13494786695767,3.604647134256797,164.75039463330847,110.82999654484098,164.75039463330847,3.604647134256797,0.25113456984859783,False,329.2004873041796,171.58879215534765,RIGHT,True,True,DOWN-UP-UP
2026-08-01,056,59.118684638746345,134.10780690303568,248.83827101900806,352.8462008145774,221.6043968427188,371.9986958869794,120.20938421824313,216.48687448991768,157.67155219606104,103.18801603197906,159.9604345575176,150.60303615906525,137.91716224952063,159.9604345575176,103.18801603197906,0.27290711564764725,False,313.77725706382483,166.49511108567432,TOP,True,False,UP-UP-DOWN
2026-08-02,056,210.99368463874725,162.23280690303568,29.463271019007152,245.70889462298933,99.62186380988501,333.1007690823998,86.6999968229897,324.66141053265386,233.65416634665783,88.34203058542616,147.19629993013464,155.5575709882834,130.36530050128138,155.5575709882834,88.34203058542616,0.29292013187143906,False,301.1570247460143,139.9920089931775,TOP,False,True,DOWN-UP-UP
2026-08-03,056,2.868684638747254,190.35780690303568,170.08827101900715,302.3041724231377,235.98240578701086,280.3163306801457,82.3055143676511,318.8521688006386,82.11234734673373,155.24191489682337,38.536322257667535,154.7573296116345,116.17852225537513,155.24191489682337,38.536322257667535,0.29435493228716647,False,300.49089063464066,133.46675583379854,TOP,True,True,UP-DOWN-DOWN
2026-08-04,056,154.74368463874634,218.48280690303568,310.71327101900715,345.62837411302945,93.28163685941622,235.8744200566979,109.33342342626187,256.6985133041899,227.26260767848828,110.92155012884966,119.75364444548569,160.80864617644357,130.49461358359298,160.80864617644357,110.92155012884966,0.26905160828889285,False,279.4004358246391,143.29255598805545,TOP,True,False,DOWN-DOWN-UP
2026-08-05,056,306.61868463874725,246.60780690303568,91.33827101900715,252.71553100026003,225.14047629741157,216.75040613574805,153.98815043152572,378.72588383132563,188.16084651760002,79.72542682635914,165.54101767387365,131.32441524431613,125.53028658151631,165.54101767387365,79.72542682635914,0.24754082875511974,False,282.7306069891112,189.0964910821791,LEFT,False,False,UP-DOWN-UP
2026-08-06,056,98.49368463874634,274.7328069030357,231.96327101900715,381.81908177818434,177.78127599262695,224.8972465745939,196.21786598515266,223.03627620396497,129.7898564272131,158.00117155962892,66.45407184326682,165.87692937212196,130.11072425833922,165.87692937212196,66.45407184326682,0.24601395739944565,False,276.5842015189144,167.92966613499757,LEFT,False,True,UP-DOWN-DOWN
2026-08-07,056,250.36868463874634,302.8578069030357,12.588271019008062,216.40781400040103,160.18267060920616,249.06271463073807,222.89962356021795,310.1930488444714,235.64496822307075,70.70897200947425,62.444868257188624,120.3753655692098,84.50973527862423,120.3753655692098,62.444868257188624,0.45283924741268267,False,258.5545258252035,206.24242079749828,LEFT,True,True,DOWN-DOWN-UP
2026-08-08,056,42.243684638747254,330.9828069030357,153.21327101900715,336.51224594223794,230.2057513122348,275.73823563830274,233.7384232877939,348.02622224022855,94.86949522033309,60.876597307255295,156.55712117168545,135.8251591685557,117.75295921583215,156.55712117168545,60.876597307255295,0.28837672194688435,False,320.09223460692306,186.27122327345396,RIGHT,True,True,UP-DOWN-DOWN
2026-08-09,056,194.11868463874634,359.1078069030357,293.83827101900715,273.40335253484494,84.26026258935345,299.28367001147586,235.998302217516,240.483874569324,216.2972403718096,153.92928084964547,62.01248085577008,136.07885776801348,117.34020649114301,153.92928084964547,62.01248085577008,0.30032145068342975,False,271.05696570521496,178.85193505955968,LEFT,True,False,DOWN-UP-UP
2026-08-10,056,345.99368463874634,27.23280690303568,74.46327101900715,288.6364093012977,235.55548103623474,322.67308570508203,234.05498777250068,366.89161187600416,208.59687216885396,34.0697346724397,51.0234623170279,82.76861314576176,55.95393671174312,82.76861314576176,34.0697346724397,0.6237790311556284,True,326.0670356274613,226.06911365919646,BOTTOM,False,True,UP-UP-UP
2026-08-11,056,137.86868463874725,55.35780690303568,215.08827101900715,368.2447492058201,114.55497472834156,349.20643975679616,223.9987569489623,240.11078287381292,104.74917238445393,111.08734713472751,161.624025966245,128.50862651036053,133.73999987044434,161.624025966245,111.08734713472751,0.26534533651706815,False,319.1873239454764,147.76763468725258,TOP,True,False,DOWN-UP-DOWN
2026-08-12,056,289.74368463874634,83.48280690303568,355.71327101900715,236.75989566186652,212.6976487067646,373.8873790782656,198.44086390978993,296.5549118417702,235.96058419307303,137.8666116971838,85.95370788406653,64.16079899280473,95.99370619135169,137.8666116971838,64.16079899280473,0.37333358319461907,False,302.4007288606341,215.69969893654252,BOTTOM,False,True,UP-UP-UP
2026-08-13,056,81.61868463874725,111.60780690303568,136.33827101900806,372.55243601472085,200.68943692134144,383.47458454054276,156.93691635598287,369.8336943263148,116.82542015218297,45.09519247372427,42.367511297503356,83.90807389653257,57.12359255592006,83.90807389653257,42.367511297503356,0.6185996641066701,True,375.2869049605261,158.1505911431691,RIGHT,True,False,UP-UP-DOWN
2026-08-14,056,233.49368463874634,139.73280690303545,276.96327101900715,222.0023722515998,132.27148590703334,366.1976839578033,111.85170270239567,226.4261656147105,198.98585977306985,145.63397771184302,164.7071299863805,66.86088264491276,125.73399678104543,164.7071299863805,66.86088264491276,0.2513312273346341,False,271.5420739413712,147.7030161274996,TOP,False,False,DOWN-UP-DOWN
2026-08-15,056,25.368684638744526,167.85780690303568,57.58827101900715,321.03037463020837,234.35241199508857,322.98666279570153,83.16072250397536,351.369000309106,222.61451163845743,151.20434528995403,142.31274147696473,32.53014775352963,108.68241150681614,151.20434528995403,32.53014775352963,0.3127075214092998,False,331.795345911672,180.04254871250714,RIGHT,False,True,UP-UP-UP
