date,machine,open,high,low,close,bullish,next_day_bullish,wave1_phase,wave2_phase,wave3_phase,wave1_value,wave2_value,wave3_value,combined_wave,wave1_direction,wave2_direction,wave3_direction,wave1_up,wave2_up,wave3_up,wave_direction_pattern
2026-07-10,056,0.0,0.0,-6667.0,-6667.0,False,True,320.1690155955762,233.3828085515578,34.37691994677607,-4244.566098547004,3036.7851522003634,-4034.8296778924673,-5242.610624239108,turning_up,falling,turning_up,True,False,True,UP-DOWN-UP
2026-07-11,056,0.0,21074.0,-2043.0,18595.0,True,False,112.04401559557573,261.5078085515577,175.00191994677607,2074.4732520203115,751.8555974207869,4870.093271973652,7696.42212141475,turning_down,falling,turning_down,False,False,False,DOWN-DOWN-DOWN
2026-07-12,056,0.0,776.0,-5333.0,-4889.0,False,False,263.9190155955762,289.6328085515578,315.6269199467756,585.5219519897819,-1710.6302740309118,-3494.4363382818588,-4619.544660322988,falling,falling,turning_up,False,False,True,DOWN-DOWN-UP
2026-07-13,056,0.0,7257.0,-3196.0,-3105.0,False,True,55.79401559557573,317.7578085515577,96.25191994677562,-3107.241772425403,-3769.138025632605,532.3783642313241,-6344.001433826684,turning_up,falling,rising,True,False,True,UP-DOWN-UP
2026-07-14,056,0.0,24000.0,-2060.0,23745.0,True,True,207.66901559557618,345.8828085515578,236.87691994677562,4895.163233157093,-4937.535672107839,2671.3682568919207,2628.9958179411747,turning_down,falling,turning_down,False,False,False,DOWN-DOWN-DOWN
2026-07-15,056,0.0,8362.0,-7733.0,4655.0,True,False,359.5440155955762,14.007808551557673,17.501919946775615,-5527.0553231295735,-4939.89737978829,-4662.369538949038,-15129.322241866901,turning_up,rising,turning_up,True,True,True,UP-UP-UP
2026-07-16,056,0.0,0.0,-7200.0,-5689.0,False,False,151.41901559557573,42.13280855155779,158.12691994677607,4853.692004238375,-3775.665413760187,4536.752525203286,5614.779115681474,turning_down,rising,turning_down,False,True,False,DOWN-UP-DOWN
2026-07-17,056,0.0,0.0,-13689.0,-13689.0,False,True,303.2940155955762,70.25780855155779,298.75191994677607,-3034.093055141253,-1719.781851131199,-2351.544713654841,-7105.419619927293,turning_up,rising,turning_up,True,True,True,UP-UP-UP
2026-07-18,056,0.0,17414.0,0.0,11552.0,True,True,95.16901559557573,98.38280855155779,79.37691994677562,497.9703624431031,742.2410446542395,-901.2152347931601,338.99617230418255,rising,rising,rising,True,True,True,UP-UP-UP
2026-07-19,056,0.0,39231.0,-7792.0,38205.0,True,True,247.04401559557573,126.50780855155779,220.00191994677562,2155.751751833628,3028.978172236605,3744.8423081045453,8929.572232174778,turning_down,rising,turning_down,False,True,False,DOWN-UP-DOWN
