date,machine,status,n_observations,n_fft,regime,long_k,long_frequency,long_period,long_rank,long_relative_power,mid_k,mid_frequency,mid_period,mid_rank,mid_relative_power,short_k,short_frequency,short_period,short_rank,short_relative_power,long_phase,long_wave_value,long_amplitude,long_x,long_y,long_region,long_top_side,mid_phase,mid_wave_value,mid_amplitude,mid_x,mid_y,mid_region,mid_top_side,short_phase,short_wave_value,short_amplitude,short_x,short_y,short_region,short_top_side,top_wave_count,top_wave_pattern,centroid_x,centroid_y,centroid_y_offset,centroid_region,phase_alignment_score,alignment_threshold_asof,high_alignment_asof,max_pair_distance,convergence_score,convergence_threshold_asof,phase_convergence_asof,bullish,next_day_bullish
2026-07-20,056,VALID,24,32,TRANSITION,6,0.1875,5.333333333333333,1,0.21180193628538335,12,0.375,2.6666666666666665,2,0.12530326285350502,14,0.4375,2.2857142857142856,3,0.12300434651485703,218.98389240874258,7949.540042347706,10226.818911732209,235.28156410571074,110.03343143686011,TOP,True,319.8479767300846,-6012.308298061776,7866.051633680209,265.47565001474266,230.92351019550912,BOTTOM,False,87.2857760766592,-369.0595318868514,7793.559077972391,376.3988539763486,193.62188724154106,RIGHT,False,1,LONG,292.38535603226734,178.1929429579701,-11.807057042029896,TOP,0.09239350991027824,,,164.01560731907418,0.25447451218602646,,,True,True
2026-07-21,056,VALID,25,32,TRANSITION,6,0.1875,5.333333333333333,1,0.1737485956347755,12,0.375,2.6666666666666665,3,0.1280109631563925,14,0.4375,2.2857142857142856,2,0.13907737797449535,276.44261126818947,-1049.6418768205647,9354.43217654751,226.06056920099962,198.34932178764188,LEFT,False,233.79455725899152,4943.550773586323,8029.349489478566,221.80950248344982,132.76179960661875,LEFT,True,108.4756382958467,2544.5121597575376,8369.2208089605,383.5979323610949,162.06804208453877,RIGHT,True,2,MID+SHORT,277.1560013485148,164.39305449293315,-25.606945507066854,TOP,0.38855128656170956,0.6203340794488232,False,164.42126349851566,0.2526306204612925,0.4436875735781725,False,True,True
2026-07-22,056,VALID,26,32,STABLE,6,0.1875,5.333333333333333,1,0.20223169684636444,12,0.375,2.6666666666666665,3,0.10854298379439956,14,0.4375,2.2857142857142856,2,0.16384566630151526,344.69733683449476,-9623.636392071236,9977.382985975548,287.5603479819551,235.4634066534885,BOTTOM,False,27.454326891092933,-7969.268816584271,7309.588155231808,322.86944348677616,234.01742653631013,BOTTOM,False,250.75701771675313,2409.0575793429944,8980.685949913734,216.40074071613083,160.8173193648197,LEFT,True,1,SHORT,275.610177394954,210.09938418487278,20.099384184872775,LEFT,0.5652495607801999,0.5652495607801999,True,129.20464527091008,0.4127061578594996,0.4127061578594996,True,True,False
2026-07-23,056,VALID,27,32,TRANSITION,6,0.1875,5.333333333333333,1,0.2177355026377622,12,0.375,2.6666666666666665,2,0.13425006862986372,14,0.4375,2.2857142857142856,3,0.12274147951669284,46.85601003892589,-6935.273062564777,10141.746903234955,340.9452893091447,228.37493170899833,RIGHT,False,22.015746842186218,-7382.832568954221,7963.525997588723,318.11833066606033,234.80898169888553,BOTTOM,False,185.49462709168074,7579.5551665028615,7614.542604530918,289.4813139000295,80.65178857201752,TOP,True,1,SHORT,316.18164462507815,181.2785673266338,-8.721432673366195,RIGHT,0.3939009734022316,0.5583447944995037,False,156.79451177261407,0.28729767376084514,0.39654927761702335,False,False,False
2026-07-24,056,VALID,28,32,UNSTABLE,3,0.09375,10.666666666666666,3,0.15674759908722302,6,0.1875,5.333333333333333,1,0.1770680627226331,14,0.4375,2.2857142857142856,2,0.16062745683635898,106.67847860606071,2612.2673800878865,8563.769457096882,383.5162231420005,164.97812231796303,RIGHT,True,345.1898275785152,-8381.103013572529,9101.954002173134,287.96985161299926,235.4995738968029,BOTTOM,False,349.39628191617317,-8417.529476888632,8669.107935771823,291.43474852673705,235.7515962217769,BOTTOM,False,1,LONG,320.97360776057894,212.07643081218097,22.076430812180973,BOTTOM,0.5805367514458086,0.5744218751795651,True,118.75345992915153,0.46021154577658396,0.44120939060975023,True,False,False
2026-07-25,056,VALID,29,32,UNSTABLE,3,0.09375,10.666666666666666,1,0.17791211028631826,4,0.125,8.0,2,0.16416144833519933,6,0.1875,5.333333333333333,3,0.14628122781010525,20.608707554746843,-8255.132622982943,8819.52909499531,316.91205436041395,234.97303754511353,BOTTOM,False,21.502813094879684,-7882.2051025995415,8471.8494460257,317.67753604215966,234.87057899015622,BOTTOM,False,173.9590495622092,7952.7723856934945,7997.181270849727,311.55761570992206,80.78754877526191,TOP,True,1,SHORT,315.3824020374986,183.5437217701772,-6.4562782298228,RIGHT,0.3998484518894609,0.5713644370464435,False,154.2784332318031,0.298734394400895,0.4317083130263334,False,False,False
2026-07-26,056,VALID,30,32,UNSTABLE,3,0.09375,10.666666666666666,1,0.18792517270969084,4,0.125,8.0,2,0.1716288054542939,14,0.4375,2.2857142857142856,3,0.15427777012909596,49.367069583285456,-5748.606347354442,8827.570160427576,343.3795206097309,227.22401518415217,RIGHT,False,61.08323218697319,-4079.199173277309,8436.140203445986,354.7311196274717,220.23410291895635,RIGHT,False,302.24289087769193,-4267.196031596584,7998.349465610119,248.46772083379912,222.50550795937585,LEFT,False,0,NONE,315.5261203570006,223.32120868749476,33.32120868749476,BOTTOM,0.6150612206597151,0.5874416452885899,True,106.28767192878361,0.5168742185055291,0.471544080322373,True,False,True
2026-07-27,056,VALID,31,32,STABLE,3,0.09375,10.666666666666666,1,0.18700966713017247,4,0.125,8.0,2,0.16671949619005658,14,0.4375,2.2857142857142856,3,0.1537094323496215,80.80442821505608,-1355.1106461100023,8479.781864735169,371.9495544825043,201.64757843186823,RIGHT,False,103.9283329769853,1927.2428181292642,8006.557861802688,383.1827907088332,169.3706817158596,RIGHT,True,96.9810012487851,934.3786806763492,7687.814776962059,381.28220137412893,180.04715824543766,RIGHT,True,2,MID+SHORT,378.8048488551555,183.68847279772183,-6.311527202278171,RIGHT,0.985756693565326,0.6150612206597151,True,34.17577589071527,0.8446555641331124,0.5168742185055291,True,True,True
2026-07-28,056,VALID,32,32,STABLE,3,0.09375,10.666666666666666,1,0.18636520524059283,4,0.125,8.0,2,0.16583272447005287,14,0.4375,2.2857142857142856,3,0.15357255043876608,114.42615867313907,3389.961706405045,8197.814767585347,383.06686377604444,152.27346158417598,RIGHT,True,148.87388932817316,6619.734952321767,7733.049729010432,354.4801233032269,99.78025165163963,TOP,True,254.6582042355949,1968.9011514891592,7441.705574796565,216.61480906136072,167.12300042555847,LEFT,True,3,LONG+MID+SHORT,318.0539320468774,139.72557122045802,-50.27442877954198,TOP,0.5341627554148616,0.6081563268169339,False,167.11312133564437,0.24039490301979838,0.5055416839597401,False,True,False
2026-07-29,056,VALID,33,64,UNSTABLE,5,0.078125,12.8,1,0.10615322627806936,27,0.421875,2.3703703703703702,2,0.08563773125481694,28,0.4375,2.2857142857142856,3,0.08165773977414029,56.915355031550234,-4679.334146912198,8572.133296015905,350.71758125674785,223.04301041493108,RIGHT,False,312.55730808597855,-5207.290600086377,7699.364730184622,258.48697669937843,228.1161338469715,LEFT,False,49.18609342492891,-4914.008546853302,7518.323246283329,343.20375209228257,227.31078150285413,RIGHT,False,0,NONE,317.46943668280295,226.15664192158556,36.15664192158556,BOTTOM,0.6875880276872093,0.6585773048762117,True,92.37002218455169,0.5801362627974923,0.5548314450807071,True,False,False
